Local time,Open,High,Low,Close,Volume
01.04.2025 00:30:02.000 GMT+1100,70.277,70.277,70.277,70.277,0.0012
01.04.2025 00:30:04.000 GMT+1100,70.277,70.277,70.277,70.277,0.0264
01.04.2025 00:30:12.000 GMT+1100,70.487,70.487,70.277,70.487,0.027299999999999998
01.04.2025 00:30:13.000 GMT+1100,70.437,70.437,70.437,70.437,0.0132
01.04.2025 00:30:14.000 GMT+1100,70.457,70.457,70.457,70.457,0.0132
01.04.2025 00:30:15.000 GMT+1100,70.727,70.727,70.727,70.727,0.027299999999999998
01.04.2025 00:30:16.000 GMT+1100,70.797,70.797,70.797,70.797,0.0132
01.04.2025 00:31:21.000 GMT+1100,70.797,70.797,70.797,70.797,0.0264
01.04.2025 00:31:55.000 GMT+1100,70.987,70.987,70.987,70.987,0.0141
01.04.2025 00:31:59.000 GMT+1100,70.987,70.987,70.987,70.987,0.0264
01.04.2025 00:32:06.000 GMT+1100,71.037,71.037,70.987,70.987,0.0141
01.04.2025 00:33:13.000 GMT+1100,70.657,70.657,70.577,70.577,0.0396
01.04.2025 00:33:15.000 GMT+1100,70.577,70.577,70.577,70.577,0.0528
01.04.2025 00:33:27.000 GMT+1100,70.577,70.577,70.577,70.577,0.0132
01.04.2025 00:33:28.000 GMT+1100,70.577,70.577,70.507,70.507,0.0264
01.04.2025 00:34:05.000 GMT+1100,70.507,70.507,70.507,70.507,0.0132
01.04.2025 00:34:06.000 GMT+1100,70.617,70.617,70.397,70.397,0.0141
01.04.2025 00:34:18.000 GMT+1100,70.397,70.397,70.397,70.397,0.0132
01.04.2025 00:34:46.000 GMT+1100,70.347,70.697,70.347,70.697,0.0141
01.04.2025 00:34:48.000 GMT+1100,70.317,70.457,70.317,70.457,0.0264
01.04.2025 00:34:51.000 GMT+1100,70.317,70.437,70.317,70.437,0.0264
01.04.2025 00:35:00.000 GMT+1100,70.697,70.697,70.697,70.697,0.0132
01.04.2025 00:35:17.000 GMT+1100,70.697,70.697,70.697,70.697,0.0132
01.04.2025 00:35:20.000 GMT+1100,70.707,70.707,70.707,70.707,0.0141
01.04.2025 00:35:21.000 GMT+1100,70.707,70.707,70.707,70.707,0.0132
01.04.2025 00:35:26.000 GMT+1100,70.707,70.707,70.707,70.707,0.0132
01.04.2025 00:35:27.000 GMT+1100,70.697,70.697,70.317,70.607,0.0396
01.04.2025 00:35:34.000 GMT+1100,70.607,70.607,70.607,70.607,0.0132
01.04.2025 00:35:38.000 GMT+1100,70.877,70.877,70.867,70.867,0.0264
01.04.2025 00:35:39.000 GMT+1100,71.007,71.007,70.787,70.787,0.0141
01.04.2025 00:35:40.000 GMT+1100,70.897,70.897,70.897,70.897,0.0009
01.04.2025 00:35:45.000 GMT+1100,71.067,71.067,70.907,70.907,0.023100000000000002
01.04.2025 00:35:50.000 GMT+1100,70.907,70.907,70.907,70.907,0.0132
