Local time,Open,High,Low,Close,Volume
01.04.2025 00:30:00.000 GMT+1100,30.258,30.258,30.258,30.258,0.12
01.04.2025 00:30:01.000 GMT+1100,30.257,30.308,30.257,30.307,0.6
01.04.2025 00:30:02.000 GMT+1100,30.427,30.427,30.427,30.427,0.12089999999999998
01.04.2025 00:30:03.000 GMT+1100,30.377,30.377,30.377,30.377,0.12
01.04.2025 00:30:05.000 GMT+1100,30.398,30.398,30.398,30.398,0.24
01.04.2025 00:30:06.000 GMT+1100,30.397,30.397,30.397,30.397,0.12
01.04.2025 00:30:10.000 GMT+1100,30.437,30.437,30.437,30.437,0.12089999999999998
01.04.2025 00:30:14.000 GMT+1100,30.448,30.448,30.448,30.448,0.12
01.04.2025 00:30:15.000 GMT+1100,30.437,30.437,30.437,30.437,0.24
01.04.2025 00:30:17.000 GMT+1100,30.437,30.487,30.437,30.487,0.48
01.04.2025 00:30:19.000 GMT+1100,30.487,30.487,30.468,30.468,0.21
01.04.2025 00:30:20.000 GMT+1100,30.467,30.467,30.467,30.467,0.12
01.04.2025 00:30:21.000 GMT+1100,30.467,30.467,30.467,30.467,0.12
01.04.2025 00:30:23.000 GMT+1100,30.477,30.477,30.477,30.477,0.12
01.04.2025 00:30:24.000 GMT+1100,30.467,30.467,30.467,30.467,0.12
01.04.2025 00:30:25.000 GMT+1100,30.498,30.498,30.497,30.497,0.24
01.04.2025 00:30:27.000 GMT+1100,30.487,30.487,30.477,30.477,0.24
01.04.2025 00:30:33.000 GMT+1100,30.468,30.468,30.467,30.467,0.3609
01.04.2025 00:30:34.000 GMT+1100,30.467,30.467,30.467,30.467,0.12
01.04.2025 00:30:35.000 GMT+1100,30.468,30.468,30.447,30.447,0.24
01.04.2025 00:30:36.000 GMT+1100,30.437,30.437,30.437,30.437,0.12
01.04.2025 00:30:38.000 GMT+1100,30.458,30.458,30.458,30.458,0.12
01.04.2025 00:30:42.000 GMT+1100,30.458,30.458,30.447,30.447,0.21
01.04.2025 00:30:43.000 GMT+1100,30.437,30.437,30.437,30.437,0.12
01.04.2025 00:30:45.000 GMT+1100,30.427,30.427,30.427,30.427,0.12
01.04.2025 00:30:50.000 GMT+1100,30.447,30.447,30.437,30.437,0.21
01.04.2025 00:30:51.000 GMT+1100,30.437,30.437,30.437,30.437,0.12
01.04.2025 00:30:53.000 GMT+1100,30.438,30.438,30.437,30.437,0.24
01.04.2025 00:30:57.000 GMT+1100,30.458,30.458,30.458,30.458,0.12
01.04.2025 00:30:58.000 GMT+1100,30.447,30.447,30.437,30.437,0.35999999999999993
01.04.2025 00:30:59.000 GMT+1100,30.437,30.447,30.437,30.447,0.24
01.04.2025 00:31:00.000 GMT+1100,30.458,30.458,30.447,30.447,0.24
01.04.2025 00:31:01.000 GMT+1100,30.437,30.437,30.437,30.437,0.12
01.04.2025 00:31:02.000 GMT+1100,30.467,30.467,30.437,30.437,0.33
01.04.2025 00:31:04.000 GMT+1100,30.447,30.447,30.437,30.437,0.21
01.04.2025 00:31:06.000 GMT+1100,30.467,30.467,30.457,30.457,0.33089999999999997
01.04.2025 00:31:07.000 GMT+1100,30.458,30.458,30.458,30.458,0.12
01.04.2025 00:31:09.000 GMT+1100,30.478,30.478,30.478,30.478,0.12
01.04.2025 00:31:12.000 GMT+1100,30.478,30.478,30.478,30.478,0.12
01.04.2025 00:31:17.000 GMT+1100,30.467,30.467,30.467,30.467,0.12
01.04.2025 00:31:18.000 GMT+1100,30.468,30.468,30.468,30.468,0.12
01.04.2025 00:31:19.000 GMT+1100,30.477,30.477,30.467,30.467,0.5700000000000001
