date,name,open,high,low,close,volume
2020-02-10,TSCO,19.26,19.82,19.24,19.5,-1
2020-02-11,TSCO,19.36,19.56,19.23,19.51,-1
2020-02-12,TSCO,19.62,19.83,19.49,19.71,-1
2020-02-13,TSCO,19.45,19.74,19.43,19.65,-1
2020-02-14,TSCO,19.37,19.71,19.37,19.63,-1
2020-02-18,TSCO,19.85,19.85,19.41,19.56,-1
2020-02-19,TSCO,19.67,19.92,19.59,19.73,-1
2020-02-20,TSCO,19.8,19.84,19.39,19.8,-1
2020-02-21,TSCO,19.39,20.03,19.39,19.96,-1
2020-02-24,TSCO,19.7,19.79,19.27,19.29,-1
2020-02-25,TSCO,19.51,19.54,18.58,18.63,-1
2020-02-26,TSCO,18.68,19.09,18.29,18.3,-1
2020-02-27,TSCO,18.19,18.86,17.75,18.08,-1
2020-02-28,TSCO,17.81,18.04,17.32,17.72,-1
2020-03-02,TSCO,17.62,18.31,17.55,18.29,-1
2020-03-03,TSCO,17.9,18.95,17.9,18.64,-1
2020-03-04,TSCO,18.8,19.28,18.61,19.27,-1
2020-03-05,TSCO,18.98,19.18,18.49,18.73,-1
2020-03-06,TSCO,18.27,18.58,17.9,18.29,-1
2020-03-09,TSCO,17.32,17.33,15.51,16.17,-1
2020-03-10,TSCO,17.01,17.43,16.07,17.39,-1
2020-03-11,TSCO,16.57,17,16.4,16.67,-1
2020-03-12,TSCO,15.68,16.37,14.36,15.3,-1
2020-03-13,TSCO,15.88,16.24,14.21,15.27,-1
2020-03-16,TSCO,14.22,14.95,13.37,13.48,-1
2020-03-17,TSCO,14.07,14.22,12.78,14.13,-1
2020-03-18,TSCO,13.45,14.58,12.84,14.48,-1
2020-03-19,TSCO,14.48,16.06,14.19,15.28,-1
2020-03-20,TSCO,15.1,15.91,14.92,15.17,-1
2020-03-23,TSCO,15.31,15.98,14.96,15.62,-1
2020-03-24,TSCO,15.93,16.86,15.72,16.02,-1
2020-03-25,TSCO,16.01,16.46,15.18,15.35,-1
2020-03-26,TSCO,15.45,16.77,15.41,16.68,-1
2020-03-27,TSCO,16.23,17.14,16.23,16.65,-1
2020-03-30,TSCO,16.54,17.3,16.45,17.1,-1
2020-03-31,TSCO,16.53,17.37,16.53,16.92,-1
2020-04-01,TSCO,16.23,17.42,16.21,16.81,-1
2020-04-02,TSCO,16.88,17.34,16.47,16.83,-1
2020-04-03,TSCO,17.07,17.17,15.84,15.9,-1
2020-04-06,TSCO,16.49,17.68,16.42,17.58,-1
2020-04-07,TSCO,18.04,18.26,17.14,17.31,-1
2020-04-08,TSCO,17.33,18.25,17.04,18.12,-1
2020-04-09,TSCO,18.35,18.44,17.57,17.64,-1
2020-04-13,TSCO,17.68,17.98,17.29,17.92,-1
2020-04-14,TSCO,17.82,18.7,17.82,18.59,-1
2020-04-15,TSCO,17.68,18.38,17.67,18.15,-1
2020-04-16,TSCO,18.52,18.52,17.92,18.23,-1
2020-04-17,TSCO,18.74,18.76,18.08,18.54,-1
2020-04-20,TSCO,18.35,18.87,18.08,18.68,-1
2020-04-21,TSCO,18.42,18.88,18.3,18.63,-1
2020-04-22,TSCO,18.68,19.3,18.53,19.08,-1
2020-04-23,TSCO,19.22,19.45,18.6,19.02,-1
2020-04-24,TSCO,19.3,20.41,19.24,20.39,-1
2020-04-27,TSCO,20.56,21,20.29,20.61,-1
2020-04-28,TSCO,20.86,21.04,20.55,20.59,-1
2020-04-29,TSCO,20.45,20.77,20.18,20.22,-1
2020-04-30,TSCO,20.16,20.4,19.84,20.28,-1
2020-05-01,TSCO,20.08,20.49,19.93,20.42,-1
2020-05-04,TSCO,20.59,20.69,20.29,20.49,-1
2020-05-05,TSCO,20.61,21.09,20.61,21.01,-1
2020-05-06,TSCO,21.24,21.25,20.96,21.01,-1
2020-05-07,TSCO,21.18,21.49,21,21.04,-1
2020-05-08,TSCO,21.29,21.57,21.08,21.45,-1
2020-05-11,TSCO,21.42,21.96,21.29,21.82,-1
2020-05-12,TSCO,21.88,22.01,21.54,21.55,-1
2020-05-13,TSCO,21.41,21.68,20.99,21.29,-1
2020-05-14,TSCO,21.19,21.4,20.97,21.37,-1
2020-05-15,TSCO,21.26,22.39,21.26,22.35,-1
2020-05-18,TSCO,22.6,22.77,21.86,21.96,-1
2020-05-19,TSCO,21.87,22.31,21.47,21.82,-1
2020-05-20,TSCO,21.96,22.13,21.41,21.56,-1
2020-05-21,TSCO,21.71,21.87,21.52,21.79,-1
2020-05-22,TSCO,21.96,22.41,21.78,22.38,-1
2020-05-26,TSCO,22.65,22.7,22.18,22.24,-1
2020-05-27,TSCO,23.11,24.07,22.54,23.94,-1
2020-05-28,TSCO,24,24.34,23.65,23.8,-1
2020-05-29,TSCO,23.67,24.5,23.67,24.39,-1
2020-06-01,TSCO,24.48,24.89,24.42,24.53,-1
2020-06-02,TSCO,24.18,24.79,24.18,24.75,-1
2020-06-03,TSCO,24.86,24.86,24.24,24.57,-1
2020-06-04,TSCO,24.53,24.81,24.16,24.47,-1
2020-06-05,TSCO,24.81,24.87,24.17,24.44,-1
2020-06-08,TSCO,24.21,24.45,23.91,24.44,-1
2020-06-09,TSCO,24.28,24.61,24.12,24.49,-1
2020-06-10,TSCO,24.49,24.81,24.11,24.27,-1
2020-06-11,TSCO,23.95,24.67,23.71,23.85,-1
2020-06-12,TSCO,24.01,24.35,23.43,23.68,-1
2020-06-15,TSCO,23.43,24.42,23.26,24.29,-1
2020-06-16,TSCO,24.7,24.79,24.19,24.78,-1
2020-06-17,TSCO,24.84,25.19,24.79,24.96,-1
2020-06-18,TSCO,24.95,25.22,24.85,25.12,-1
2020-06-19,TSCO,25.37,25.59,24.77,25.53,-1
2020-06-22,TSCO,25.37,26.16,25.26,26.02,-1
2020-06-23,TSCO,26.22,26.42,25.8,25.85,-1
2020-06-24,TSCO,25.58,26.34,25.54,26.26,-1
2020-06-25,TSCO,26.28,26.29,25.75,26.16,-1
2020-06-26,TSCO,26,26.45,25.8,26,-1
2020-06-29,TSCO,26.15,26.54,25.89,26.33,-1
2020-06-30,TSCO,26.39,26.56,26.09,26.35,-1
2020-07-01,TSCO,26.42,26.7,26.16,26.54,-1
2020-07-02,TSCO,26.8,26.96,26.37,26.49,-1
2020-07-06,TSCO,26.78,26.89,26.58,26.76,-1
2020-07-07,TSCO,26.75,27.09,26.57,26.85,-1
2020-07-08,TSCO,26.74,27.14,26.61,27.13,-1
2020-07-09,TSCO,27.2,27.61,27.03,27.54,-1
2020-07-10,TSCO,27.61,27.75,27.19,27.69,-1
2020-07-13,TSCO,27.99,28.2,27.03,27.11,-1
2020-07-14,TSCO,27.04,27.95,26.91,27.94,-1
2020-07-15,TSCO,28.35,28.37,27.66,27.84,-1
