date,name,open,high,low,close,volume
2020-03-16,KHC,20.98,23.58,19.99,22.02,-1
2020-03-17,KHC,22.25,23.91,20.83,23.82,-1
2020-03-18,KHC,22.32,24,21.91,23.65,-1
2020-03-19,KHC,23.32,23.56,21.91,22.27,-1
2020-03-20,KHC,22.46,23.25,21.78,22.29,-1
2020-03-23,KHC,22.55,23.3,20.66,20.75,-1
2020-03-24,KHC,21.7,23.37,21.54,22.98,-1
2020-03-25,KHC,23.39,24.33,22.88,22.96,-1
2020-03-26,KHC,23.21,24.89,22.97,24.76,-1
2020-03-27,KHC,24.02,25.18,23.6,24.25,-1
2020-03-30,KHC,24.6,25.3,24.03,25.17,-1
2020-03-31,KHC,25.03,25.5,24.39,24.72,-1
2020-04-01,KHC,24.03,24.39,23.49,23.68,-1
2020-04-02,KHC,23.53,24.79,23.38,24.63,-1
2020-04-03,KHC,24.47,25.48,24.38,25.32,-1
2020-04-06,KHC,25.94,26.12,25.55,25.89,-1
2020-04-07,KHC,26.86,27.48,26.03,26.61,-1
2020-04-08,KHC,26.81,27.5,26.6,27.32,-1
2020-04-09,KHC,27.41,28.5,27.34,28.12,-1
2020-04-13,KHC,27.89,28.18,27.34,27.93,-1
2020-04-14,KHC,28,28.68,27.93,28.45,-1
2020-04-15,KHC,27.93,28.1,27.41,28.05,-1
2020-04-16,KHC,28.56,29.41,28.2,29.21,-1
2020-04-17,KHC,29.14,29.49,28.64,29.32,-1
2020-04-20,KHC,28.96,29.81,28.87,29.16,-1
2020-04-21,KHC,28.89,29.13,28.31,28.46,-1
2020-04-22,KHC,28.74,28.94,28.45,28.75,-1
2020-04-23,KHC,28.62,29.05,28.45,28.54,-1
2020-04-24,KHC,28.65,29.34,28.59,29.23,-1
2020-04-27,KHC,29.53,30.25,29.36,30.19,-1
2020-04-28,KHC,30.43,30.77,30.05,30.44,-1
2020-04-29,KHC,30.52,31.04,30.16,30.52,-1
2020-04-30,KHC,30.37,30.89,29.54,30.32,-1
2020-05-01,KHC,29.9,30.25,29.15,29.39,-1
2020-05-04,KHC,29.21,29.24,28.45,28.94,-1
2020-05-05,KHC,29.09,29.49,28.85,28.95,-1
2020-05-06,KHC,29.11,29.57,28.88,29.39,-1
2020-05-07,KHC,29.45,29.72,28.73,28.82,-1
2020-05-08,KHC,29.1,29.67,28.93,29.55,-1
2020-05-11,KHC,29.39,29.58,29.27,29.32,-1
2020-05-12,KHC,29.39,29.78,29.35,29.39,-1
2020-05-13,KHC,29.36,29.53,28.48,28.77,-1
2020-05-14,KHC,28.5,28.94,28.11,28.8,-1
2020-05-15,KHC,28.61,29.33,28.56,29.2,-1
2020-05-18,KHC,30.05,31.14,29.97,30.88,-1
2020-05-19,KHC,30.75,30.93,29.9,29.91,-1
2020-05-20,KHC,30.13,30.49,29.97,30.23,-1
2020-05-21,KHC,30.1,30.12,29.59,29.71,-1
2020-05-22,KHC,29.57,30,29.56,29.95,-1
2020-05-26,KHC,30.37,30.74,30.13,30.21,-1
2020-05-27,KHC,30.32,31.06,30.27,31.03,-1
2020-05-28,KHC,30.69,30.76,30.25,30.39,-1
2020-05-29,KHC,30.27,30.59,29.77,30.46,-1
2020-06-01,KHC,30.48,30.79,30.31,30.43,-1
2020-06-02,KHC,30.54,31.46,30.42,31.45,-1
2020-06-03,KHC,31.43,31.83,31.28,31.3,-1
2020-06-04,KHC,31.18,31.5,30.83,31.5,-1
2020-06-05,KHC,31.75,32.64,31.67,32.63,-1
2020-06-08,KHC,32.42,34,32.42,33.98,-1
2020-06-09,KHC,33.36,33.49,32.74,33.09,-1
2020-06-10,KHC,33.09,33.19,32.39,32.49,-1
2020-06-11,KHC,31.78,31.92,31.14,31.18,-1
2020-06-12,KHC,31.77,31.98,31.22,31.79,-1
2020-06-15,KHC,31.46,32.12,30.98,32.12,-1
2020-06-16,KHC,32.49,32.9,32.01,32.74,-1
2020-06-17,KHC,32.9,33.39,32.75,32.8,-1
2020-06-18,KHC,32.65,33.2,32.52,33.19,-1
2020-06-19,KHC,33.27,33.71,33.06,33.48,-1
2020-06-22,KHC,33.05,33.38,32.8,33.15,-1
2020-06-23,KHC,33.15,33.38,32.3,32.4,-1
2020-06-24,KHC,32.23,32.32,31.67,32.13,-1
2020-06-25,KHC,32.04,32.07,31.51,31.87,-1
2020-06-26,KHC,31.79,31.89,30.8,30.91,-1
2020-06-29,KHC,31.03,31.68,31,31.64,-1
2020-06-30,KHC,31.57,32.05,31.49,31.88,-1
2020-07-01,KHC,31.91,32.03,31.48,31.66,-1
2020-07-02,KHC,31.91,32.22,31.73,31.8,-1
2020-07-06,KHC,32.11,32.34,31.85,32,-1
2020-07-07,KHC,31.89,32.28,31.77,32.05,-1
2020-07-08,KHC,32,32.16,31.47,31.87,-1
2020-07-09,KHC,31.63,31.76,31.16,31.37,-1
2020-07-10,KHC,31.46,32.31,31.35,32.3,-1
2020-07-13,KHC,32.44,32.95,32.18,32.52,-1
2020-07-14,KHC,32.22,33.44,32.22,33.3,-1
2020-07-15,KHC,33.49,33.52,33.04,33.15,-1
2020-07-16,KHC,33.56,34.69,33.46,34.41,-1
2020-07-17,KHC,34.54,35.19,34.36,35.01,-1
2020-07-20,KHC,34.94,34.94,33.91,34.12,-1
2020-07-21,KHC,34.29,34.89,34.27,34.53,-1
2020-07-22,KHC,34.65,34.96,34.28,34.9,-1
2020-07-23,KHC,34.59,35.13,34.27,34.88,-1
2020-07-24,KHC,34.94,35.25,34.51,34.69,-1
2020-07-27,KHC,34.84,34.89,34.49,34.84,-1
2020-07-28,KHC,34.87,35.39,34.77,35.27,-1
2020-07-29,KHC,35.52,35.87,35.39,35.56,-1
2020-07-30,KHC,34.91,35.47,33.36,34.38,-1
2020-07-31,KHC,34.09,34.83,33.83,34.41,-1
2020-08-03,KHC,34.55,35.05,34.24,34.8,-1
2020-08-04,KHC,34.71,35.14,34.37,35.09,-1
2020-08-05,KHC,35.15,35.22,34.64,34.79,-1
2020-08-06,KHC,34.76,35.33,34.67,35.29,-1
2020-08-07,KHC,35.09,35.45,34.98,35.41,-1
2020-08-10,KHC,35.3,35.37,34.52,34.8,-1
2020-08-11,KHC,34.94,35.25,34.49,34.63,-1
2020-08-12,KHC,34.77,35.49,34.76,35.33,-1
2020-08-13,KHC,35.34,35.68,35.13,35.56,-1
2020-08-14,KHC,35.45,35.67,35.13,35.59,-1
2020-08-17,KHC,35.63,36.37,35.53,35.91,-1
2020-08-18,KHC,36.06,36.07,35.25,35.66,-1
2020-08-19,KHC,35.7,35.87,35.38,35.44,-1
2020-08-20,KHC,35.34,35.34,34.73,34.86,-1
2020-08-21,KHC,34.67,34.91,34.31,34.56,-1
2020-08-24,KHC,34.71,35.09,34.34,35.08,-1
2020-08-25,KHC,35.27,35.41,34.91,35.37,-1
2020-08-26,KHC,35.23,35.36,34.83,35.3,-1
2020-08-27,KHC,35.09,35.24,34.7,34.77,-1
2020-08-28,KHC,34.82,34.91,34.25,34.87,-1
2020-08-31,KHC,34.72,35.14,34.63,35.04,-1
2020-09-01,KHC,34.69,34.85,33.91,34.15,-1
2020-09-02,KHC,34.26,34.95,34.11,34.7,-1
2020-09-03,KHC,34.52,35.06,33.26,33.55,-1
2020-09-04,KHC,33.69,33.91,33.1,33.47,-1
2020-09-08,KHC,33.08,33.18,31.63,31.77,-1
2020-09-09,KHC,32.02,32.05,31.25,31.64,-1
2020-09-10,KHC,31.77,32.23,31.32,31.52,-1
2020-09-11,KHC,31.7,32.17,31.24,31.71,-1
2020-09-14,KHC,31.86,32.18,31.43,31.86,-1
2020-09-15,KHC,32.7,33.32,31.87,31.96,-1
2020-09-16,KHC,32.37,32.46,31.15,31.36,-1
2020-09-17,KHC,30.96,31.04,30.11,30.64,-1
2020-09-18,KHC,30.73,30.74,29.47,29.73,-1
2020-09-21,KHC,29.41,29.7,29.1,29.66,-1
2020-09-22,KHC,29.8,29.87,29.13,29.2,-1
2020-09-23,KHC,29.34,29.47,28.69,28.78,-1
2020-09-24,KHC,28.75,29.17,28.56,28.84,-1
2020-09-25,KHC,28.89,29.22,28.56,29.12,-1
2020-09-28,KHC,29.7,30,29.42,29.84,-1
2020-09-29,KHC,29.86,29.89,29.36,29.59,-1
2020-09-30,KHC,29.7,30.21,29.65,29.95,-1
2020-10-01,KHC,29.96,30.4,29.66,30.38,-1
2020-10-02,KHC,30.01,30.58,29.96,30.48,-1
2020-10-05,KHC,30.7,31.07,30.62,31,-1
2020-10-06,KHC,31.02,31.27,30.59,30.68,-1
2020-10-07,KHC,30.9,30.99,30.5,30.84,-1
2020-10-08,KHC,30.93,31.34,30.89,31.22,-1
2020-10-09,KHC,31.36,31.48,31,31.11,-1
