rank,symbol,name,mkt cap,price
1,AAPL,Apple Inc.,"3,317.47B",220.84
2,MSFT,Microsoft Corporation,"2,828.26B",380.45
3,NVDA,NVIDIA Corporation,"2,653.74B",108.76
4,AMZN,"Amazon.com, Inc.","2,083.41B",196.59
5,GOOG,Alphabet Inc.,"2,010.31B",165.98
6,GOOGL,Alphabet Inc.,"1,999.65B",164.04
7,META,"Meta Platforms, Inc.","1,534.66B",605.71
8,BRK.B,Berkshire Hathaway Inc.,"1,070.76B",496.25
9,AVGO,Broadcom Inc.,893.79B,190.09
10,TSLA,"Tesla, Inc.",741.66B,230.58
11,LLY,Eli Lilly and Company,740.15B,824.06
12,WMT,Walmart Inc.,702.44B,87.44
13,V,Visa Inc.,648.86B,332.14
14,JPM,JPMorgan Chase & Co.,640.70B,229.14
15,MA,Mastercard Incorporated,480.49B,525.8
16,XOM,Exxon Mobil Corporation,473.66B,109.16
17,UNH,UnitedHealth Group Incorporated,444.59B,486.04
18,COST,Costco Wholesale Corporation,412.89B,930.49
19,PG,The Procter & Gamble Company,405.94B,173.12
20,ORCL,Oracle Corporation,403.27B,144.18
21,JNJ,Johnson & Johnson,399.33B,165.86
22,NFLX,"Netflix, Inc.",382.89B,895.1
23,ABBV,AbbVie Inc.,377.06B,213.59
24,HD,"The Home Depot, Inc.",365.72B,368.16
25,KO,The Coca-Cola Company,305.54B,71.04
26,BAC,Bank of America Corporation,301.15B,39.61
27,TMUS,"T-Mobile US, Inc.",293.05B,256.67
28,CVX,Chevron Corporation,271.27B,154.08
29,CRM,"Salesforce, Inc.",266.25B,277.05
30,CSCO,"Cisco Systems, Inc.",241.36B,60.67
31,MRK,"Merck & Co., Inc.",239.29B,94.73
32,PM,Philip Morris International Inc.,236.49B,152.1
33,IBM,International Business Machines Corporation,230.84B,248.95
34,ABT,Abbott Laboratories,230.08B,132.66
35,WFC,Wells Fargo & Company,221.23B,67.28
36,MCD,McDonald's Corporation,219.17B,306.76
37,LIN,Linde plc,214.73B,454.07
38,PEP,"PepsiCo, Inc.",208.92B,152.33
39,GE,General Electric Company,205.77B,191.72
40,ACN,Accenture plc,205.03B,327.79
41,TMO,Thermo Fisher Scientific Inc.,193.99B,514.2
42,ADBE,Adobe Inc.,188.60B,433.66
43,T,AT&T Inc.,186.70B,26.01
44,PLTR,Palantir Technologies Inc.,183.06B,78.05
45,VZ,Verizon Communications Inc.,182.83B,43.43
46,MS,Morgan Stanley,180.70B,112.04
47,AXP,American Express Company,179.42B,255.39
48,DIS,The Walt Disney Company,176.98B,97.9
49,ISRG,"Intuitive Surgical, Inc.",176.09B,493.72
50,GS,"The Goldman Sachs Group, Inc.",173.16B,531.43
51,AMGN,Amgen Inc.,171.31B,318.89
52,RTX,RTX Corporation,171.04B,128.11
53,QCOM,QUALCOMM Incorporated,169.24B,153.1
54,BX,Blackstone Inc.,168.69B,138.14
55,NOW,"ServiceNow, Inc.",166.53B,808.4
56,INTU,Intuit Inc.,164.02B,586.71
57,CAT,Caterpillar Inc.,162.39B,339.77
58,PGR,The Progressive Corporation,162.34B,276.94
59,TXN,Texas Instruments Incorporated,161.36B,177.34
