date,open,high,low,close,volume
20241003  23:30:00,2.97,3.08,2.97,3.05,-1
20241003  23:30:15,3.05,3.08,3.01,3.05,-1
20241003  23:30:30,3.05,3.05,3.02,3.05,-1
20241003  23:30:45,3.05,3.1,3.02,3.1,-1
20241003  23:31:00,3.1,3.1,3.02,3.03,-1
20241003  23:31:15,3.03,3.03,2.99,3.01,-1
20241003  23:31:30,3.01,3.01,2.99,3,-1
20241003  23:31:45,3,3.05,3,3.05,-1
20241003  23:32:00,3.05,3.1,3.05,3.08,-1
20241003  23:32:15,3.08,3.08,3.02,3.02,-1
20241003  23:32:30,3.02,3.03,2.93,2.95,-1
20241003  23:32:45,2.95,2.97,2.92,2.97,-1
20241003  23:33:00,2.97,3.05,2.96,3.03,-1
20241003  23:33:15,3.03,3.08,3.02,3.08,-1
20241003  23:33:30,3.08,3.1,3.07,3.1,-1
20241003  23:33:45,3.1,3.15,3.1,3.15,-1
20241003  23:34:00,3.15,3.15,3.1,3.13,-1
20241003  23:34:15,3.13,3.18,3.1,3.15,-1
20241003  23:34:30,3.15,3.15,3.1,3.13,-1
20241003  23:34:45,3.13,3.13,3.1,3.13,-1
20241003  23:35:00,3.13,3.13,3.12,3.13,-1
20241003  23:35:15,3.13,3.18,3.12,3.15,-1
20241003  23:35:30,3.15,3.2,3.15,3.2,-1
20241003  23:35:45,3.2,3.2,3.17,3.18,-1
20241003  23:36:00,3.18,3.23,3.17,3.2,-1
20241003  23:36:15,3.2,3.25,3.2,3.25,-1
20241003  23:36:30,3.25,3.25,3.25,3.25,-1
20241003  23:36:45,3.25,3.25,3.25,3.25,-1
20241003  23:37:00,3.25,3.3,3.25,3.3,-1
20241003  23:37:15,3.3,3.3,3.27,3.28,-1
20241003  23:37:30,3.28,3.3,3.27,3.28,-1
20241003  23:37:45,3.28,3.3,3.27,3.3,-1
20241003  23:38:00,3.3,3.3,3.27,3.3,-1
20241003  23:38:15,3.3,3.3,3.27,3.28,-1
20241003  23:38:30,3.28,3.28,3.22,3.25,-1
20241003  23:38:45,3.25,3.25,3.25,3.25,-1
20241003  23:39:00,3.25,3.3,3.25,3.28,-1
20241003  23:39:15,3.28,3.3,3.25,3.25,-1
20241003  23:39:30,3.25,3.28,3.25,3.25,-1
20241003  23:39:45,3.25,3.28,3.22,3.25,-1
20241003  23:40:00,3.25,3.28,3.25,3.28,-1
20241003  23:40:15,3.28,3.28,3.25,3.25,-1
20241003  23:40:30,3.25,3.28,3.25,3.25,-1
20241003  23:40:45,3.25,3.25,3.22,3.25,-1
20241003  23:41:00,3.25,3.28,3.22,3.23,-1
20241003  23:41:15,3.23,3.23,3.2,3.2,-1
20241003  23:41:30,3.2,3.23,3.2,3.2,-1
20241003  23:41:45,3.2,3.23,3.2,3.2,-1
20241003  23:42:00,3.2,3.23,3.2,3.2,-1
20241003  23:42:15,3.2,3.28,3.2,3.28,-1
20241003  23:42:30,3.28,3.33,3.27,3.33,-1
20241003  23:42:45,3.33,3.33,3.32,3.33,-1
20241003  23:43:00,3.33,3.33,3.3,3.3,-1
20241003  23:43:15,3.3,3.33,3.3,3.3,-1
20241003  23:43:30,3.3,3.33,3.3,3.3,-1
20241003  23:43:45,3.3,3.3,3.25,3.25,-1
20241003  23:44:00,3.25,3.3,3.25,3.3,-1
20241003  23:44:15,3.3,3.3,3.27,3.28,-1
20241003  23:44:30,3.28,3.28,3.25,3.25,-1
20241003  23:44:45,3.25,3.25,3.22,3.23,-1
20241003  23:45:00,3.23,3.25,3.22,3.25,-1
20241003  23:45:15,3.25,3.25,3.22,3.23,-1
20241003  23:45:30,3.23,3.23,3.15,3.15,-1
20241003  23:45:45,3.15,3.15,3.12,3.13,-1
20241003  23:46:00,3.13,3.18,3.12,3.18,-1
20241003  23:46:15,3.18,3.18,3.12,3.13,-1
20241003  23:46:30,3.13,3.15,3.12,3.13,-1
20241003  23:46:45,3.13,3.15,3.12,3.15,-1
20241003  23:47:00,3.15,3.15,3.12,3.13,-1
20241003  23:47:15,3.13,3.13,3.1,3.1,-1
20241003  23:47:30,3.1,3.18,3.1,3.18,-1
20241003  23:47:45,3.18,3.2,3.17,3.2,-1
20241003  23:48:00,3.2,3.2,3.15,3.15,-1
20241003  23:48:15,3.15,3.18,3.15,3.18,-1
20241003  23:48:30,3.18,3.2,3.17,3.18,-1
20241003  23:48:45,3.18,3.23,3.17,3.23,-1
20241003  23:49:00,3.23,3.25,3.22,3.25,-1
20241003  23:49:15,3.25,3.28,3.25,3.28,-1
20241003  23:49:30,3.28,3.28,3.22,3.25,-1
20241003  23:49:45,3.25,3.25,3.22,3.23,-1
20241003  23:50:00,3.23,3.23,3.22,3.23,-1
20241003  23:50:15,3.23,3.28,3.22,3.28,-1
20241003  23:50:30,3.28,3.28,3.25,3.28,-1
20241003  23:50:45,3.28,3.33,3.27,3.33,-1
20241003  23:51:00,3.33,3.33,3.3,3.33,-1
20241003  23:51:15,3.33,3.33,3.3,3.33,-1
20241003  23:51:30,3.33,3.33,3.25,3.25,-1
20241003  23:51:45,3.25,3.28,3.25,3.28,-1
20241003  23:52:00,3.28,3.3,3.27,3.3,-1
20241003  23:52:15,3.3,3.3,3.25,3.25,-1
20241003  23:52:30,3.25,3.25,3.25,3.25,-1
20241003  23:52:45,3.25,3.28,3.22,3.25,-1
20241003  23:53:00,3.25,3.28,3.25,3.25,-1
20241003  23:53:15,3.25,3.28,3.25,3.28,-1
20241003  23:53:30,3.28,3.3,3.27,3.3,-1
20241003  23:53:45,3.3,3.3,3.27,3.28,-1
20241003  23:54:00,3.28,3.3,3.27,3.3,-1
20241003  23:54:15,3.3,3.3,3.25,3.28,-1
20241003  23:54:30,3.28,3.28,3.22,3.25,-1
20241003  23:54:45,3.25,3.28,3.25,3.28,-1
20241003  23:55:00,3.28,3.3,3.27,3.28,-1
20241003  23:55:15,3.28,3.3,3.27,3.3,-1
20241003  23:55:30,3.3,3.33,3.3,3.33,-1
20241003  23:55:45,3.33,3.35,3.32,3.35,-1
20241003  23:56:00,3.35,3.38,3.35,3.38,-1
20241003  23:56:15,3.38,3.38,3.37,3.38,-1
20241003  23:56:30,3.38,3.38,3.35,3.38,-1
20241003  23:56:45,3.38,3.38,3.35,3.35,-1
20241003  23:57:00,3.35,3.35,3.32,3.33,-1
20241003  23:57:15,3.33,3.33,3.3,3.3,-1
20241003  23:57:30,3.3,3.35,3.3,3.35,-1
20241003  23:57:45,3.35,3.35,3.32,3.35,-1
20241003  23:58:00,3.35,3.35,3.35,3.35,-1
20241003  23:58:15,3.35,3.38,3.35,3.35,-1
20241003  23:58:30,3.35,3.35,3.35,3.35,-1
20241003  23:58:45,3.35,3.35,3.32,3.33,-1
20241003  23:59:00,3.33,3.33,3.3,3.3,-1
20241003  23:59:15,3.3,3.33,3.3,3.33,-1
20241003  23:59:30,3.33,3.33,3.3,3.3,-1
20241003  23:59:45,3.3,3.3,3.17,3.23,-1
20241004  00:00:00,3.23,3.33,3.12,3.33,-1
20241004  00:00:15,3.33,3.35,3.3,3.3,-1
20241004  00:00:30,3.3,3.38,3.3,3.35,-1
20241004  00:00:45,3.35,3.38,3.35,3.35,-1
20241004  00:01:00,3.35,3.38,3.35,3.35,-1
20241004  00:01:15,3.35,3.38,3.35,3.38,-1
20241004  00:01:30,3.38,3.38,3.35,3.38,-1
20241004  00:01:45,3.38,3.38,3.37,3.38,-1
20241004  00:02:00,3.38,3.4,3.37,3.4,-1
20241004  00:02:15,3.4,3.4,3.35,3.38,-1
20241004  00:02:30,3.38,3.38,3.35,3.35,-1
20241004  00:02:45,3.35,3.35,3.3,3.3,-1
20241004  00:03:00,3.3,3.33,3.27,3.28,-1
20241004  00:03:15,3.28,3.28,3.25,3.28,-1
20241004  00:03:30,3.28,3.28,3.25,3.25,-1
20241004  00:03:45,3.25,3.28,3.25,3.28,-1
20241004  00:04:00,3.28,3.28,3.25,3.28,-1
20241004  00:04:15,3.28,3.3,3.27,3.28,-1
20241004  00:04:30,3.28,3.33,3.27,3.3,-1
20241004  00:04:45,3.3,3.33,3.27,3.33,-1
20241004  00:05:00,3.33,3.33,3.3,3.33,-1
20241004  00:05:15,3.33,3.33,3.27,3.33,-1
20241004  00:05:30,3.33,3.33,3.27,3.28,-1
20241004  00:05:45,3.28,3.33,3.27,3.33,-1
20241004  00:06:00,3.33,3.33,3.3,3.3,-1
20241004  00:06:15,3.3,3.33,3.3,3.33,-1
20241004  00:06:30,3.33,3.35,3.32,3.35,-1
20241004  00:06:45,3.35,3.35,3.32,3.33,-1
20241004  00:07:00,3.33,3.35,3.32,3.33,-1
20241004  00:07:15,3.33,3.33,3.3,3.3,-1
20241004  00:07:30,3.3,3.3,3.27,3.28,-1
20241004  00:07:45,3.28,3.28,3.25,3.25,-1
20241004  00:08:00,3.25,3.25,3.25,3.25,-1
20241004  00:08:15,3.25,3.25,3.22,3.23,-1
20241004  00:08:30,3.23,3.23,3.22,3.23,-1
20241004  00:08:45,3.23,3.25,3.2,3.23,-1
20241004  00:09:00,3.23,3.23,3.2,3.23,-1
20241004  00:09:15,3.23,3.23,3.2,3.23,-1
20241004  00:09:30,3.23,3.23,3.22,3.23,-1
20241004  00:09:45,3.23,3.25,3.22,3.25,-1
20241004  00:10:00,3.25,3.25,3.22,3.23,-1
20241004  00:10:15,3.23,3.23,3.2,3.23,-1
20241004  00:10:30,3.23,3.23,3.22,3.23,-1
20241004  00:10:45,3.23,3.23,3.22,3.23,-1
20241004  00:11:00,3.23,3.23,3.22,3.23,-1
20241004  00:11:15,3.23,3.23,3.2,3.2,-1
20241004  00:11:30,3.2,3.2,3.17,3.18,-1
20241004  00:11:45,3.18,3.2,3.17,3.2,-1
20241004  00:12:00,3.2,3.23,3.2,3.2,-1
20241004  00:12:15,3.2,3.2,3.17,3.18,-1
20241004  00:12:30,3.18,3.18,3.15,3.18,-1
20241004  00:12:45,3.18,3.18,3.15,3.18,-1
20241004  00:13:00,3.18,3.18,3.07,3.1,-1
20241004  00:13:15,3.1,3.1,3.07,3.08,-1
20241004  00:13:30,3.08,3.1,3.02,3.03,-1
20241004  00:13:45,3.03,3.05,3.02,3.03,-1
20241004  00:14:00,3.03,3.03,2.97,2.98,-1
20241004  00:14:15,2.98,3.05,2.97,3.05,-1
20241004  00:14:30,3.05,3.1,3.05,3.1,-1
20241004  00:14:45,3.1,3.1,3.1,3.1,-1
20241004  00:15:00,3.1,3.13,3.1,3.13,-1
20241004  00:15:15,3.13,3.13,3.1,3.1,-1
20241004  00:15:30,3.1,3.13,3.07,3.08,-1
20241004  00:15:45,3.08,3.1,3.05,3.05,-1
20241004  00:16:00,3.05,3.05,3.02,3.03,-1
20241004  00:16:15,3.03,3.05,3.02,3.05,-1
20241004  00:16:30,3.05,3.08,3.05,3.08,-1
20241004  00:16:45,3.08,3.1,3.07,3.1,-1
20241004  00:17:00,3.1,3.1,3.1,3.1,-1
20241004  00:17:15,3.1,3.1,3.1,3.1,-1
20241004  00:17:30,3.1,3.13,3.1,3.1,-1
20241004  00:17:45,3.1,3.1,3.1,3.1,-1
20241004  00:18:00,3.1,3.1,3.1,3.1,-1
20241004  00:18:15,3.1,3.1,3.05,3.05,-1
20241004  00:18:30,3.05,3.1,3.05,3.05,-1
20241004  00:18:45,3.05,3.08,3.05,3.08,-1
20241004  00:19:00,3.08,3.08,3.05,3.08,-1
20241004  00:19:15,3.08,3.08,3.05,3.05,-1
20241004  00:19:30,3.05,3.05,3.05,3.05,-1
20241004  00:19:45,3.05,3.05,3.02,3.05,-1
20241004  00:20:00,3.05,3.05,2.99,2.99,-1
20241004  00:20:15,2.99,3.03,2.97,3.03,-1
20241004  00:20:30,3.03,3.03,3.02,3.03,-1
20241004  00:20:45,3.03,3.03,2.96,2.97,-1
20241004  00:21:00,2.97,2.98,2.96,2.97,-1
20241004  00:21:15,2.97,3.01,2.96,2.97,-1
20241004  00:21:30,2.97,3,2.94,2.97,-1
20241004  00:21:45,2.97,2.98,2.96,2.98,-1
20241004  00:22:00,2.98,2.98,2.94,2.95,-1
20241004  00:22:15,2.95,2.97,2.93,2.94,-1
20241004  00:22:30,2.94,2.94,2.88,2.89,-1
20241004  00:22:45,2.89,2.91,2.88,2.89,-1
20241004  00:23:00,2.89,2.91,2.87,2.91,-1
20241004  00:23:15,2.91,2.94,2.9,2.93,-1
20241004  00:23:30,2.93,2.97,2.92,2.97,-1
20241004  00:23:45,2.97,2.98,2.95,2.97,-1
20241004  00:24:00,2.97,3.02,2.97,2.99,-1
20241004  00:24:15,2.99,3.02,2.98,2.99,-1
20241004  00:24:30,2.99,2.99,2.94,2.96,-1
20241004  00:24:45,2.96,2.96,2.93,2.95,-1
20241004  00:25:00,2.95,2.97,2.93,2.96,-1
20241004  00:25:15,2.96,2.96,2.93,2.94,-1
20241004  00:25:30,2.94,2.94,2.92,2.93,-1
20241004  00:25:45,2.93,2.93,2.91,2.93,-1
20241004  00:26:00,2.93,2.93,2.91,2.93,-1
20241004  00:26:15,2.93,2.96,2.92,2.95,-1
20241004  00:26:30,2.95,2.95,2.93,2.94,-1
20241004  00:26:45,2.94,2.94,2.91,2.94,-1
20241004  00:27:00,2.94,2.95,2.93,2.95,-1
20241004  00:27:15,2.95,2.95,2.93,2.94,-1
20241004  00:27:30,2.94,2.96,2.94,2.95,-1
20241004  00:27:45,2.95,2.96,2.94,2.94,-1
20241004  00:28:00,2.94,2.94,2.91,2.91,-1
20241004  00:28:15,2.91,2.92,2.91,2.91,-1
20241004  00:28:30,2.91,2.94,2.91,2.93,-1
20241004  00:28:45,2.93,2.94,2.93,2.94,-1
20241004  00:29:00,2.94,2.94,2.93,2.94,-1
20241004  00:29:15,2.94,2.94,2.93,2.94,-1
20241004  00:29:30,2.94,2.94,2.92,2.93,-1
20241004  00:29:45,2.93,2.93,2.9,2.91,-1
20241004  00:30:00,2.91,2.91,2.84,2.88,-1
20241004  00:30:15,2.88,2.88,2.86,2.87,-1
20241004  00:30:30,2.87,2.87,2.85,2.87,-1
20241004  00:30:45,2.87,2.89,2.86,2.88,-1
20241004  00:31:00,2.88,2.9,2.87,2.89,-1
20241004  00:31:15,2.89,2.9,2.87,2.89,-1
20241004  00:31:30,2.89,2.92,2.89,2.92,-1
20241004  00:31:45,2.92,2.93,2.91,2.91,-1
20241004  00:32:00,2.91,2.95,2.91,2.94,-1
20241004  00:32:15,2.94,2.96,2.93,2.94,-1
20241004  00:32:30,2.94,2.96,2.94,2.96,-1
20241004  00:32:45,2.96,2.97,2.95,2.97,-1
20241004  00:33:00,2.97,3.02,2.97,3.02,-1
20241004  00:33:15,3.02,3.03,3.01,3.02,-1
20241004  00:33:30,3.02,3.05,3.02,3.05,-1
20241004  00:33:45,3.05,3.05,3.02,3.02,-1
20241004  00:34:00,3.02,3.05,3.02,3.05,-1
20241004  00:34:15,3.05,3.05,3.02,3.03,-1
20241004  00:34:30,3.03,3.05,3.02,3.05,-1
20241004  00:34:45,3.05,3.05,3.05,3.05,-1
20241004  00:35:00,3.05,3.05,3.05,3.05,-1
20241004  00:35:15,3.05,3.05,3.05,3.05,-1
20241004  00:35:30,3.05,3.05,3.05,3.05,-1
20241004  00:35:45,3.05,3.05,3.05,3.05,-1
20241004  00:36:00,3.05,3.05,3.02,3.02,-1
20241004  00:36:15,3.02,3.02,3.01,3.02,-1
20241004  00:36:30,3.02,3.02,3,3.01,-1
20241004  00:36:45,3.01,3.02,3.01,3.02,-1
20241004  00:37:00,3.02,3.02,3.01,3.01,-1
20241004  00:37:15,3.01,3.01,2.98,3.01,-1
20241004  00:37:30,3.01,3.01,2.98,2.98,-1
20241004  00:37:45,2.98,3.02,2.98,3.02,-1
