Option Price,Strike,Implied Vol,Type,Volume,Expiry,Value Date,Underlying Price
2.25,6525,11.768,call,1026,21-03-2025,10-01-2025,5861.5
2.75,6500,11.781,call,330,21-03-2025,10-01-2025,5861.5
3.2,6475,11.745,call,752,21-03-2025,10-01-2025,5861.5
4.05,6450,11.906,call,49,21-03-2025,10-01-2025,5861.5
7.75,6425,10.927,call,2,21-03-2025,10-01-2025,5861.5
5.6,6400,11.775,call,925,21-03-2025,10-01-2025,5861.5
6.35,6375,11.868,call,23,21-03-2025,10-01-2025,5861.5
8.1,6350,11.535,call,1504,21-03-2025,10-01-2025,5861.5
10.5,6325,11.632,call,26,21-03-2025,10-01-2025,5861.5
12,6300,11.988,call,1524,21-03-2025,10-01-2025,5861.5
14.25,6275,11.723,call,303,21-03-2025,10-01-2025,5861.5
17.5,6250,12.147,call,2035,21-03-2025,10-01-2025,5861.5
21,6225,12.196,call,2182,21-03-2025,10-01-2025,5861.5
24.5,6200,12.207,call,3443,21-03-2025,10-01-2025,5861.5
29,6175,12.432,call,235,21-03-2025,10-01-2025,5861.5
33.5,6150,12.468,call,1117,21-03-2025,10-01-2025,5861.5
47.5,6125,12.405,call,298,21-03-2025,10-01-2025,5861.5
47,6100,12.863,call,2189,21-03-2025,10-01-2025,5861.5
55.5,6075,13.143,call,521,21-03-2025,10-01-2025,5861.5
65.5,6050,13.374,call,473,21-03-2025,10-01-2025,5861.5
74,6025,13.546,call,362,21-03-2025,10-01-2025,5861.5
84.25,6000,13.829,call,1947,21-03-2025,10-01-2025,5861.5
96.25,5975,13.926,call,855,21-03-2025,10-01-2025,5861.5
108,5950,14.33,call,853,21-03-2025,10-01-2025,5861.5
132.75,5925,14.31,call,518,21-03-2025,10-01-2025,5861.5
134,5900,14.827,call,421,21-03-2025,10-01-2025,5861.5
142.5,5885,15.081,call,295,21-03-2025,10-01-2025,5861.5
146.25,5880,15.018,call,181,21-03-2025,10-01-2025,5861.5
147,5875,15.216,call,575,21-03-2025,10-01-2025,5861.5
155.5,5865,15.252,call,184,21-03-2025,10-01-2025,5861.5
254.5,5725,16.837,call,33,21-03-2025,10-01-2025,5861.5
228,5750,16.701,call,20,21-03-2025,10-01-2025,5861.5
213,5775,16.486,call,31,21-03-2025,10-01-2025,5861.5
202.75,5800,15.93,call,11,21-03-2025,10-01-2025,5861.5
179.25,5825,15.798,call,394,21-03-2025,10-01-2025,5861.5
164.25,5850,15.28,call,140,21-03-2025,10-01-2025,5861.5
31.75,5150,24.6,put,552,21-03-2025,10-01-2025,5861.5
33.75,5175,24.252,put,205,21-03-2025,10-01-2025,5861.5
35.25,5200,23.788,put,1245,21-03-2025,10-01-2025,5861.5
37.25,5225,23.521,put,47,21-03-2025,10-01-2025,5861.5
39.25,5250,23.22,put,276,21-03-2025,10-01-2025,5861.5
42,5275,22.998,put,67,21-03-2025,10-01-2025,5861.5
43,5300,22.623,put,584,21-03-2025,10-01-2025,5861.5
32.5,5325,21.792,put,143,21-03-2025,10-01-2025,5861.5
47.75,5350,21.755,put,1924,21-03-2025,10-01-2025,5861.5
49.75,5375,21.401,put,166,21-03-2025,10-01-2025,5861.5
54,5400,21.24,put,2745,21-03-2025,10-01-2025,5861.5
55.5,5425,20.795,put,132,21-03-2025,10-01-2025,5861.5
58.75,5450,20.543,put,349,21-03-2025,10-01-2025,5861.5
61.75,5475,20.15,put,84,21-03-2025,10-01-2025,5861.5
67,5500,19.967,put,1530,21-03-2025,10-01-2025,5861.5
69.25,5525,19.465,put,212,21-03-2025,10-01-2025,5861.5
74,5550,19.342,put,546,21-03-2025,10-01-2025,5861.5
77.75,5575,18.959,put,342,21-03-2025,10-01-2025,5861.5
83.5,5600,18.702,put,2281,21-03-2025,10-01-2025,5861.5
57.25,5625,18.23,put,230,21-03-2025,10-01-2025,5861.5
92.5,5650,17.916,put,514,21-03-2025,10-01-2025,5861.5
98,5675,17.604,put,362,21-03-2025,10-01-2025,5861.5
103.5,5700,17.275,put,2557,21-03-2025,10-01-2025,5861.5
110.5,5725,17.054,put,607,21-03-2025,10-01-2025,5861.5
116.5,5750,16.718,put,884,21-03-2025,10-01-2025,5861.5
110.5,5775,16.202,put,364,21-03-2025,10-01-2025,5861.5
133.25,5800,15.955,put,1718,21-03-2025,10-01-2025,5861.5
125.25,5825,15.565,put,60,21-03-2025,10-01-2025,5861.5
152,5850,15.512,put,1396,21-03-2025,10-01-2025,5861.5
155.5,5865,15.372,put,34,21-03-2025,10-01-2025,5861.5
161.25,5875,14.989,put,332,21-03-2025,10-01-2025,5861.5
118.75,5880,15.622,put,45,21-03-2025,10-01-2025,5861.5
164.75,5885,15.069,put,40,21-03-2025,10-01-2025,5861.5
171.5,5900,14.908,put,1853,21-03-2025,10-01-2025,5861.5
180.25,5925,14.496,put,227,21-03-2025,10-01-2025,5861.5
192.25,5950,14.282,put,373,21-03-2025,10-01-2025,5861.5
153.5,5975,13.811,put,126,21-03-2025,10-01-2025,5861.5
208.75,6000,13.61,put,347,21-03-2025,10-01-2025,5861.5
175,6025,13.308,put,28,21-03-2025,10-01-2025,5861.5
200.5,6050,13.41,put,59,21-03-2025,10-01-2025,5861.5
268,6075,13.349,put,21,21-03-2025,10-01-2025,5861.5
