date,open,high,low,close,volume
20241003  23:30:00,6.5,6.8,6.5,6.73,-1
20241003  23:30:15,6.73,6.75,6.62,6.7,-1
20241003  23:30:30,6.7,6.73,6.67,6.7,-1
20241003  23:30:45,6.7,6.83,6.67,6.8,-1
20241003  23:31:00,6.8,6.8,6.62,6.65,-1
20241003  23:31:15,6.65,6.65,6.6,6.63,-1
20241003  23:31:30,6.63,6.63,6.57,6.6,-1
20241003  23:31:45,6.6,6.73,6.6,6.73,-1
20241003  23:32:00,6.73,6.75,6.72,6.75,-1
20241003  23:32:15,6.75,6.75,6.62,6.65,-1
20241003  23:32:30,6.65,6.65,6.47,6.53,-1
20241003  23:32:45,6.53,6.55,6.45,6.55,-1
20241003  23:33:00,6.55,6.68,6.55,6.65,-1
20241003  23:33:15,6.65,6.75,6.65,6.75,-1
20241003  23:33:30,6.75,6.8,6.75,6.8,-1
20241003  23:33:45,6.8,6.85,6.8,6.85,-1
20241003  23:34:00,6.85,6.85,6.85,6.85,-1
20241003  23:34:15,6.85,6.9,6.8,6.9,-1
20241003  23:34:30,6.9,6.9,6.82,6.85,-1
20241003  23:34:45,6.85,6.85,6.8,6.83,-1
20241003  23:35:00,6.83,6.85,6.82,6.85,-1
20241003  23:35:15,6.85,6.9,6.85,6.9,-1
20241003  23:35:30,6.9,7,6.9,7,-1
20241003  23:35:45,7,7,6.95,6.95,-1
20241003  23:36:00,6.95,7,6.95,7,-1
20241003  23:36:15,7,7.05,6.97,7.05,-1
20241003  23:36:30,7.05,7.05,7.05,7.05,-1
20241003  23:36:45,7.05,7.1,7.05,7.1,-1
20241003  23:37:00,7.1,7.1,7.07,7.1,-1
20241003  23:37:15,7.1,7.1,7.1,7.1,-1
20241003  23:37:30,7.1,7.15,7.1,7.1,-1
20241003  23:37:45,7.1,7.15,7.1,7.15,-1
20241003  23:38:00,7.15,7.15,7.1,7.15,-1
20241003  23:38:15,7.15,7.15,7.1,7.1,-1
20241003  23:38:30,7.1,7.1,7,7.03,-1
20241003  23:38:45,7.03,7.05,7.02,7.05,-1
20241003  23:39:00,7.05,7.13,7.05,7.1,-1
20241003  23:39:15,7.1,7.1,7.05,7.05,-1
20241003  23:39:30,7.05,7.1,7.05,7.05,-1
20241003  23:39:45,7.05,7.1,7.05,7.05,-1
20241003  23:40:00,7.05,7.1,7.05,7.1,-1
20241003  23:40:15,7.1,7.1,7.05,7.05,-1
20241003  23:40:30,7.05,7.05,7.05,7.05,-1
20241003  23:40:45,7.05,7.05,7,7.05,-1
20241003  23:41:00,7.05,7.1,7,7,-1
20241003  23:41:15,7,7,6.95,6.95,-1
20241003  23:41:30,6.95,7,6.95,6.98,-1
20241003  23:41:45,6.98,7,6.95,6.95,-1
20241003  23:42:00,6.95,7,6.95,6.98,-1
20241003  23:42:15,6.98,7.1,6.95,7.1,-1
20241003  23:42:30,7.1,7.2,7.1,7.2,-1
20241003  23:42:45,7.2,7.2,7.2,7.2,-1
20241003  23:43:00,7.2,7.2,7.15,7.15,-1
20241003  23:43:15,7.15,7.15,7.15,7.15,-1
20241003  23:43:30,7.15,7.15,7.15,7.15,-1
20241003  23:43:45,7.15,7.15,7.05,7.05,-1
20241003  23:44:00,7.05,7.1,7.05,7.1,-1
20241003  23:44:15,7.1,7.1,7.1,7.1,-1
20241003  23:44:30,7.1,7.1,7.05,7.05,-1
20241003  23:44:45,7.05,7.05,6.95,6.95,-1
20241003  23:45:00,6.95,7.03,6.95,7.03,-1
20241003  23:45:15,7.03,7.05,6.95,6.95,-1
20241003  23:45:30,6.95,6.98,6.9,6.9,-1
20241003  23:45:45,6.9,6.9,6.82,6.83,-1
20241003  23:46:00,6.83,6.9,6.82,6.9,-1
20241003  23:46:15,6.9,6.9,6.8,6.8,-1
20241003  23:46:30,6.8,6.85,6.8,6.85,-1
20241003  23:46:45,6.85,6.9,6.85,6.85,-1
20241003  23:47:00,6.85,6.85,6.85,6.85,-1
20241003  23:47:15,6.85,6.85,6.77,6.8,-1
20241003  23:47:30,6.8,6.9,6.8,6.9,-1
20241003  23:47:45,6.9,6.95,6.9,6.95,-1
20241003  23:48:00,6.95,6.95,6.85,6.85,-1
20241003  23:48:15,6.85,6.93,6.85,6.9,-1
20241003  23:48:30,6.9,6.95,6.9,6.95,-1
20241003  23:48:45,6.95,7,6.9,7,-1
20241003  23:49:00,7,7.05,7,7.05,-1
20241003  23:49:15,7.05,7.1,7.05,7.1,-1
20241003  23:49:30,7.1,7.1,7,7,-1
20241003  23:49:45,7,7.05,7,7.03,-1
20241003  23:50:00,7.03,7.03,7,7,-1
20241003  23:50:15,7,7.05,7,7.05,-1
20241003  23:50:30,7.05,7.1,7.05,7.1,-1
20241003  23:50:45,7.1,7.15,7.1,7.15,-1
20241003  23:51:00,7.15,7.15,7.1,7.15,-1
20241003  23:51:15,7.15,7.15,7.15,7.15,-1
20241003  23:51:30,7.15,7.15,7.05,7.05,-1
20241003  23:51:45,7.05,7.08,7.05,7.08,-1
20241003  23:52:00,7.08,7.1,7.07,7.1,-1
20241003  23:52:15,7.1,7.1,7,7.03,-1
20241003  23:52:30,7.03,7.05,7.02,7.05,-1
20241003  23:52:45,7.05,7.05,7.02,7.05,-1
20241003  23:53:00,7.05,7.05,7.05,7.05,-1
20241003  23:53:15,7.05,7.1,7.05,7.1,-1
20241003  23:53:30,7.1,7.15,7.1,7.1,-1
20241003  23:53:45,7.1,7.13,7.07,7.1,-1
20241003  23:54:00,7.1,7.13,7.1,7.13,-1
20241003  23:54:15,7.13,7.13,7.05,7.05,-1
20241003  23:54:30,7.05,7.05,7,7.03,-1
20241003  23:54:45,7.03,7.1,7.02,7.1,-1
20241003  23:55:00,7.1,7.13,7.1,7.1,-1
20241003  23:55:15,7.1,7.15,7.1,7.15,-1
20241003  23:55:30,7.15,7.2,7.15,7.2,-1
20241003  23:55:45,7.2,7.23,7.2,7.2,-1
20241003  23:56:00,7.2,7.25,7.2,7.25,-1
20241003  23:56:15,7.25,7.28,7.25,7.25,-1
20241003  23:56:30,7.25,7.25,7.25,7.25,-1
20241003  23:56:45,7.25,7.28,7.25,7.25,-1
20241003  23:57:00,7.25,7.25,7.17,7.18,-1
20241003  23:57:15,7.18,7.18,7.15,7.15,-1
20241003  23:57:30,7.15,7.2,7.15,7.2,-1
20241003  23:57:45,7.2,7.25,7.2,7.25,-1
20241003  23:58:00,7.25,7.25,7.2,7.25,-1
20241003  23:58:15,7.25,7.25,7.2,7.2,-1
20241003  23:58:30,7.2,7.23,7.2,7.23,-1
20241003  23:58:45,7.23,7.23,7.15,7.15,-1
20241003  23:59:00,7.15,7.18,7.12,7.15,-1
20241003  23:59:15,7.15,7.15,7.12,7.15,-1
20241003  23:59:30,7.15,7.15,7.15,7.15,-1
20241003  23:59:45,7.15,7.18,6.95,7,-1
20241004  00:00:00,7,7.1,6.97,7.1,-1
20241004  00:00:15,7.1,7.2,7.1,7.15,-1
20241004  00:00:30,7.15,7.25,7.15,7.25,-1
20241004  00:00:45,7.25,7.25,7.2,7.25,-1
20241004  00:01:00,7.25,7.25,7.2,7.25,-1
20241004  00:01:15,7.25,7.25,7.2,7.25,-1
20241004  00:01:30,7.25,7.25,7.25,7.25,-1
20241004  00:01:45,7.25,7.28,7.25,7.28,-1
20241004  00:02:00,7.28,7.28,7.27,7.28,-1
20241004  00:02:15,7.28,7.33,7.25,7.25,-1
20241004  00:02:30,7.25,7.25,7.22,7.23,-1
