date,open,high,low,close,volume
20241003  23:30:00,225.11,225.69,225.07,225.5,-1
20241003  23:30:15,225.5,225.55,225.38,225.42,-1
20241003  23:30:30,225.42,225.48,225.35,225.45,-1
20241003  23:30:45,225.45,225.7,225.42,225.62,-1
20241003  23:31:00,225.62,225.64,225.25,225.28,-1
20241003  23:31:15,225.28,225.31,225.13,225.24,-1
20241003  23:31:30,225.24,225.25,225.11,225.17,-1
20241003  23:31:45,225.17,225.48,225.16,225.47,-1
20241003  23:32:00,225.47,225.58,225.46,225.52,-1
20241003  23:32:15,225.52,225.52,225.28,225.31,-1
20241003  23:32:30,225.31,225.33,224.92,225.04,-1
20241003  23:32:45,225.04,225.14,224.87,225.14,-1
20241003  23:33:00,225.14,225.38,225.08,225.3,-1
20241003  23:33:15,225.3,225.55,225.29,225.54,-1
20241003  23:33:30,225.54,225.67,225.52,225.67,-1
20241003  23:33:45,225.67,225.78,225.61,225.78,-1
20241003  23:34:00,225.78,225.8,225.68,225.71,-1
20241003  23:34:15,225.71,225.83,225.63,225.81,-1
20241003  23:34:30,225.81,225.82,225.65,225.7,-1
20241003  23:34:45,225.7,225.78,225.63,225.71,-1
20241003  23:35:00,225.71,225.79,225.7,225.75,-1
20241003  23:35:15,225.75,225.92,225.75,225.89,-1
20241003  23:35:30,225.89,226.07,225.88,226.05,-1
20241003  23:35:45,226.05,226.06,225.93,225.98,-1
20241003  23:36:00,225.98,226.09,225.97,226.05,-1
20241003  23:36:15,226.05,226.15,225.99,226.12,-1
20241003  23:36:30,226.12,226.22,226.12,226.18,-1
20241003  23:36:45,226.18,226.24,226.15,226.22,-1
20241003  23:37:00,226.22,226.31,226.2,226.28,-1
20241003  23:37:15,226.28,226.29,226.17,226.25,-1
20241003  23:37:30,226.25,226.38,226.2,226.28,-1
20241003  23:37:45,226.28,226.4,226.27,226.34,-1
20241003  23:38:00,226.34,226.39,226.25,226.37,-1
20241003  23:38:15,226.37,226.37,226.23,226.24,-1
20241003  23:38:30,226.24,226.25,226.08,226.09,-1
20241003  23:38:45,226.09,226.16,226.09,226.1,-1
20241003  23:39:00,226.1,226.32,226.1,226.26,-1
20241003  23:39:15,226.26,226.29,226.16,226.24,-1
20241003  23:39:30,226.24,226.25,226.19,226.2,-1
20241003  23:39:45,226.2,226.28,226.11,226.2,-1
20241003  23:40:00,226.2,226.28,226.12,226.28,-1
20241003  23:40:15,226.28,226.28,226.15,226.18,-1
20241003  23:40:30,226.18,226.22,226.12,226.13,-1
20241003  23:40:45,226.13,226.17,226.05,226.16,-1
20241003  23:41:00,226.16,226.23,226.02,226.05,-1
20241003  23:41:15,226.05,226.06,225.95,225.97,-1
20241003  23:41:30,225.97,226.07,225.96,226,-1
20241003  23:41:45,226,226.04,225.96,225.98,-1
20241003  23:42:00,225.98,226.07,225.95,225.99,-1
20241003  23:42:15,225.99,226.28,225.97,226.28,-1
20241003  23:42:30,226.28,226.47,226.27,226.47,-1
20241003  23:42:45,226.47,226.48,226.44,226.46,-1
20241003  23:43:00,226.46,226.47,226.36,226.37,-1
20241003  23:43:15,226.37,226.42,226.36,226.4,-1
20241003  23:43:30,226.4,226.43,226.33,226.35,-1
20241003  23:43:45,226.35,226.36,226.14,226.14,-1
20241003  23:44:00,226.14,226.28,226.12,226.24,-1
20241003  23:44:15,226.24,226.35,226.22,226.24,-1
20241003  23:44:30,226.24,226.24,226.1,226.11,-1
20241003  23:44:45,226.11,226.13,225.95,225.96,-1
20241003  23:45:00,225.96,226.12,225.95,226.11,-1
20241003  23:45:15,226.11,226.14,225.95,225.99,-1
20241003  23:45:30,225.99,226.02,225.77,225.78,-1
20241003  23:45:45,225.78,225.78,225.64,225.67,-1
20241003  23:46:00,225.67,225.91,225.66,225.82,-1
20241003  23:46:15,225.82,225.84,225.63,225.68,-1
20241003  23:46:30,225.68,225.8,225.68,225.74,-1
20241003  23:46:45,225.74,225.83,225.73,225.75,-1
20241003  23:47:00,225.75,225.78,225.68,225.75,-1
20241003  23:47:15,225.75,225.75,225.56,225.63,-1
20241003  23:47:30,225.63,225.84,225.61,225.84,-1
20241003  23:47:45,225.84,225.99,225.81,225.94,-1
20241003  23:48:00,225.94,225.99,225.74,225.78,-1
20241003  23:48:15,225.78,225.88,225.76,225.85,-1
20241003  23:48:30,225.85,225.92,225.84,225.87,-1
20241003  23:48:45,225.87,226.1,225.85,226.08,-1
20241003  23:49:00,226.08,226.18,226.08,226.13,-1
20241003  23:49:15,226.13,226.28,226.11,226.23,-1
20241003  23:49:30,226.23,226.26,226.06,226.1,-1
20241003  23:49:45,226.1,226.2,226.08,226.11,-1
20241003  23:50:00,226.11,226.11,226.01,226.06,-1
20241003  23:50:15,226.06,226.2,226.05,226.18,-1
20241003  23:50:30,226.18,226.28,226.16,226.25,-1
20241003  23:50:45,226.25,226.37,226.24,226.37,-1
20241003  23:51:00,226.37,226.39,226.27,226.38,-1
20241003  23:51:15,226.38,226.39,226.33,226.38,-1
20241003  23:51:30,226.38,226.41,226.12,226.13,-1
20241003  23:51:45,226.13,226.2,226.12,226.18,-1
20241003  23:52:00,226.18,226.29,226.17,226.25,-1
20241003  23:52:15,226.25,226.26,226.05,226.07,-1
20241003  23:52:30,226.07,226.13,226.06,226.11,-1
20241003  23:52:45,226.11,226.17,226.07,226.13,-1
20241003  23:53:00,226.13,226.16,226.1,226.12,-1
20241003  23:53:15,226.12,226.26,226.11,226.25,-1
20241003  23:53:30,226.25,226.34,226.24,226.25,-1
20241003  23:53:45,226.25,226.32,226.21,226.25,-1
20241003  23:54:00,226.25,226.32,226.23,226.32,-1
20241003  23:54:15,226.32,226.33,226.17,226.18,-1
20241003  23:54:30,226.18,226.19,226.03,226.11,-1
20241003  23:54:45,226.11,226.28,226.1,226.26,-1
20241003  23:55:00,226.26,226.32,226.22,226.23,-1
20241003  23:55:15,226.23,226.4,226.22,226.37,-1
20241003  23:55:30,226.37,226.53,226.35,226.5,-1
20241003  23:55:45,226.5,226.53,226.45,226.48,-1
20241003  23:56:00,226.48,226.64,226.47,226.61,-1
20241003  23:56:15,226.61,226.7,226.6,226.62,-1
20241003  23:56:30,226.62,226.66,226.57,226.65,-1
20241003  23:56:45,226.65,226.69,226.56,226.56,-1
20241003  23:57:00,226.56,226.57,226.42,226.43,-1
20241003  23:57:15,226.43,226.46,226.39,226.41,-1
20241003  23:57:30,226.41,226.5,226.37,226.48,-1
20241003  23:57:45,226.48,226.59,226.48,226.59,-1
20241003  23:58:00,226.59,226.61,226.53,226.6,-1
20241003  23:58:15,226.6,226.64,226.51,226.51,-1
20241003  23:58:30,226.51,226.59,226.51,226.57,-1
20241003  23:58:45,226.57,226.59,226.46,226.47,-1
20241003  23:59:00,226.47,226.47,226.33,226.4,-1
20241003  23:59:15,226.4,226.44,226.36,226.44,-1
20241003  23:59:30,226.44,226.44,226.37,226.4,-1
20241003  23:59:45,226.4,226.43,226.28,226.31,-1
20241004  00:00:00,226.31,226.66,226.29,226.56,-1
20241004  00:00:15,226.56,226.57,226.39,226.44,-1
20241004  00:00:30,226.44,226.68,226.44,226.62,-1
20241004  00:00:45,226.62,226.65,226.54,226.6,-1
20241004  00:01:00,226.6,226.65,226.52,226.64,-1
20241004  00:01:15,226.64,226.66,226.56,226.65,-1
20241004  00:01:30,226.65,226.68,226.6,226.67,-1
20241004  00:01:45,226.67,226.74,226.65,226.73,-1
20241004  00:02:00,226.73,226.8,226.71,226.76,-1
20241004  00:02:15,226.76,226.81,226.66,226.7,-1
20241004  00:02:30,226.7,226.75,226.62,226.64,-1
20241004  00:02:45,226.64,226.71,226.42,226.48,-1
20241004  00:03:00,226.48,226.56,226.37,226.38,-1
20241004  00:03:15,226.38,226.4,226.26,226.36,-1
20241004  00:03:30,226.36,226.36,226.24,226.29,-1
20241004  00:03:45,226.29,226.36,226.25,226.32,-1
20241004  00:04:00,226.32,226.47,226.31,226.46,-1
20241004  00:04:15,226.46,226.51,226.43,226.45,-1
20241004  00:04:30,226.45,226.54,226.45,226.5,-1
20241004  00:04:45,226.5,226.56,226.45,226.53,-1
20241004  00:05:00,226.53,226.63,226.52,226.54,-1
20241004  00:05:15,226.54,226.58,226.41,226.55,-1
20241004  00:05:30,226.55,226.58,226.44,226.47,-1
20241004  00:05:45,226.47,226.58,226.43,226.54,-1
20241004  00:06:00,226.54,226.61,226.51,226.54,-1
20241004  00:06:15,226.54,226.6,226.52,226.57,-1
20241004  00:06:30,226.57,226.67,226.57,226.64,-1
20241004  00:06:45,226.64,226.64,226.57,226.59,-1
20241004  00:07:00,226.59,226.68,226.57,226.6,-1
20241004  00:07:15,226.6,226.61,226.47,226.52,-1
20241004  00:07:30,226.52,226.54,226.43,226.46,-1
20241004  00:07:45,226.46,226.46,226.31,226.36,-1
20241004  00:08:00,226.36,226.37,226.31,226.31,-1
20241004  00:08:15,226.31,226.32,226.21,226.27,-1
20241004  00:08:30,226.27,226.3,226.2,226.29,-1
20241004  00:08:45,226.29,226.33,226.2,226.31,-1
20241004  00:09:00,226.31,226.31,226.19,226.25,-1
20241004  00:09:15,226.25,226.29,226.22,226.27,-1
20241004  00:09:30,226.27,226.34,226.27,226.3,-1
20241004  00:09:45,226.3,226.41,226.3,226.38,-1
20241004  00:10:00,226.38,226.47,226.31,226.33,-1
20241004  00:10:15,226.33,226.38,226.27,226.29,-1
20241004  00:10:30,226.29,226.35,226.27,226.34,-1
20241004  00:10:45,226.34,226.4,226.31,226.38,-1
20241004  00:11:00,226.38,226.42,226.31,226.37,-1
20241004  00:11:15,226.37,226.37,226.26,226.26,-1
20241004  00:11:30,226.26,226.28,226.19,226.2,-1
20241004  00:11:45,226.2,226.24,226.17,226.24,-1
20241004  00:12:00,226.24,226.31,226.23,226.25,-1
20241004  00:12:15,226.25,226.26,226.12,226.13,-1
20241004  00:12:30,226.13,226.13,226.05,226.1,-1
20241004  00:12:45,226.1,226.18,226.05,226.17,-1
20241004  00:13:00,226.17,226.19,225.87,225.89,-1
20241004  00:13:15,225.89,225.9,225.77,225.81,-1
20241004  00:13:30,225.81,225.85,225.53,225.56,-1
20241004  00:13:45,225.56,225.58,225.42,225.44,-1
20241004  00:14:00,225.44,225.47,225.2,225.24,-1
20241004  00:14:15,225.24,225.53,225.2,225.52,-1
20241004  00:14:30,225.52,225.68,225.52,225.65,-1
20241004  00:14:45,225.65,225.72,225.62,225.69,-1
20241004  00:15:00,225.69,225.81,225.62,225.8,-1
20241004  00:15:15,225.8,225.8,225.65,225.74,-1
20241004  00:15:30,225.74,225.77,225.56,225.62,-1
20241004  00:15:45,225.62,225.65,225.5,225.53,-1
20241004  00:16:00,225.53,225.55,225.31,225.36,-1
20241004  00:16:15,225.36,225.49,225.32,225.43,-1
20241004  00:16:30,225.43,225.56,225.42,225.56,-1
20241004  00:16:45,225.56,225.74,225.54,225.69,-1
20241004  00:17:00,225.69,225.73,225.61,225.62,-1
20241004  00:17:15,225.62,225.75,225.61,225.73,-1
