date,open,high,low,close,volume
20241003  23:30:00,4.5,4.68,4.5,4.63,-1
20241003  23:30:15,4.63,4.68,4.6,4.63,-1
20241003  23:30:30,4.63,4.63,4.6,4.63,-1
20241003  23:30:45,4.63,4.7,4.62,4.7,-1
20241003  23:31:00,4.7,4.7,4.57,4.58,-1
20241003  23:31:15,4.58,4.58,4.55,4.55,-1
20241003  23:31:30,4.55,4.55,4.55,4.55,-1
20241003  23:31:45,4.55,4.63,4.55,4.63,-1
20241003  23:32:00,4.63,4.65,4.62,4.65,-1
20241003  23:32:15,4.65,4.65,4.6,4.6,-1
20241003  23:32:30,4.6,4.6,4.45,4.5,-1
20241003  23:32:45,4.5,4.53,4.45,4.53,-1
20241003  23:33:00,4.53,4.6,4.5,4.6,-1
20241003  23:33:15,4.6,4.65,4.6,4.65,-1
20241003  23:33:30,4.65,4.7,4.65,4.7,-1
20241003  23:33:45,4.7,4.75,4.7,4.75,-1
20241003  23:34:00,4.75,4.75,4.7,4.75,-1
20241003  23:34:15,4.75,4.75,4.7,4.75,-1
20241003  23:34:30,4.75,4.75,4.7,4.75,-1
20241003  23:34:45,4.75,4.75,4.72,4.72,-1
20241003  23:35:00,4.72,4.75,4.72,4.75,-1
20241003  23:35:15,4.75,4.8,4.75,4.8,-1
20241003  23:35:30,4.8,4.85,4.8,4.85,-1
20241003  23:35:45,4.85,4.85,4.8,4.8,-1
20241003  23:36:00,4.8,4.85,4.8,4.85,-1
20241003  23:36:15,4.85,4.9,4.82,4.88,-1
20241003  23:36:30,4.88,4.9,4.87,4.9,-1
20241003  23:36:45,4.9,4.9,4.9,4.9,-1
20241003  23:37:00,4.9,4.95,4.9,4.95,-1
20241003  23:37:15,4.95,4.95,4.9,4.95,-1
20241003  23:37:30,4.95,4.98,4.92,4.95,-1
20241003  23:37:45,4.95,4.98,4.95,4.95,-1
20241003  23:38:00,4.95,4.98,4.95,4.97,-1
20241003  23:38:15,4.97,4.98,4.92,4.93,-1
20241003  23:38:30,4.93,4.93,4.85,4.85,-1
20241003  23:38:45,4.85,4.9,4.85,4.9,-1
20241003  23:39:00,4.9,4.95,4.9,4.95,-1
20241003  23:39:15,4.95,4.95,4.9,4.9,-1
20241003  23:39:30,4.9,4.93,4.9,4.9,-1
20241003  23:39:45,4.9,4.95,4.9,4.9,-1
20241003  23:40:00,4.9,4.95,4.87,4.95,-1
20241003  23:40:15,4.95,4.95,4.9,4.9,-1
20241003  23:40:30,4.9,4.93,4.9,4.9,-1
20241003  23:40:45,4.9,4.9,4.85,4.9,-1
20241003  23:41:00,4.9,4.93,4.85,4.85,-1
20241003  23:41:15,4.85,4.85,4.85,4.85,-1
20241003  23:41:30,4.85,4.85,4.85,4.85,-1
20241003  23:41:45,4.85,4.85,4.82,4.83,-1
20241003  23:42:00,4.83,4.88,4.82,4.85,-1
20241003  23:42:15,4.85,4.95,4.85,4.95,-1
20241003  23:42:30,4.95,4.98,4.95,4.97,-1
20241003  23:42:45,4.97,5,4.97,5,-1
20241003  23:43:00,5,5,4.97,4.97,-1
20241003  23:43:15,4.97,5,4.95,5,-1
20241003  23:43:30,5,5,4.95,4.95,-1
20241003  23:43:45,4.95,4.95,4.87,4.9,-1
20241003  23:44:00,4.9,4.93,4.9,4.93,-1
20241003  23:44:15,4.93,4.95,4.92,4.93,-1
20241003  23:44:30,4.93,4.93,4.9,4.9,-1
20241003  23:44:45,4.9,4.9,4.85,4.85,-1
20241003  23:45:00,4.85,4.9,4.85,4.9,-1
20241003  23:45:15,4.9,4.9,4.85,4.85,-1
20241003  23:45:30,4.85,4.85,4.75,4.75,-1
20241003  23:45:45,4.75,4.75,4.7,4.72,-1
20241003  23:46:00,4.72,4.8,4.72,4.78,-1
20241003  23:46:15,4.78,4.78,4.7,4.7,-1
20241003  23:46:30,4.7,4.75,4.7,4.75,-1
20241003  23:46:45,4.75,4.75,4.75,4.75,-1
20241003  23:47:00,4.75,4.75,4.72,4.75,-1
20241003  23:47:15,4.75,4.75,4.7,4.7,-1
20241003  23:47:30,4.7,4.78,4.7,4.78,-1
20241003  23:47:45,4.78,4.85,4.77,4.83,-1
20241003  23:48:00,4.83,4.85,4.75,4.75,-1
20241003  23:48:15,4.75,4.8,4.75,4.8,-1
20241003  23:48:30,4.8,4.8,4.8,4.8,-1
20241003  23:48:45,4.8,4.88,4.8,4.88,-1
20241003  23:49:00,4.88,4.9,4.87,4.9,-1
20241003  23:49:15,4.9,4.95,4.9,4.93,-1
20241003  23:49:30,4.93,4.95,4.85,4.88,-1
20241003  23:49:45,4.88,4.9,4.85,4.88,-1
20241003  23:50:00,4.88,4.9,4.85,4.85,-1
20241003  23:50:15,4.85,4.9,4.85,4.9,-1
20241003  23:50:30,4.9,4.95,4.9,4.95,-1
20241003  23:50:45,4.95,4.98,4.95,4.97,-1
20241003  23:51:00,4.97,5,4.95,5,-1
20241003  23:51:15,5,5,4.97,5,-1
20241003  23:51:30,5,5,4.9,4.9,-1
20241003  23:51:45,4.9,4.93,4.9,4.9,-1
20241003  23:52:00,4.9,4.95,4.9,4.95,-1
20241003  23:52:15,4.95,4.95,4.87,4.88,-1
20241003  23:52:30,4.88,4.9,4.87,4.9,-1
20241003  23:52:45,4.9,4.9,4.9,4.9,-1
20241003  23:53:00,4.9,4.9,4.9,4.9,-1
20241003  23:53:15,4.9,4.95,4.9,4.95,-1
20241003  23:53:30,4.95,4.95,4.95,4.95,-1
20241003  23:53:45,4.95,4.95,4.92,4.93,-1
20241003  23:54:00,4.93,4.95,4.92,4.95,-1
20241003  23:54:15,4.95,4.95,4.9,4.9,-1
20241003  23:54:30,4.9,4.9,4.85,4.88,-1
20241003  23:54:45,4.88,4.95,4.87,4.95,-1
20241003  23:55:00,4.95,4.95,4.92,4.93,-1
20241003  23:55:15,4.93,4.98,4.92,4.97,-1
20241003  23:55:30,4.97,5.03,4.97,5.03,-1
20241003  23:55:45,5.03,5.03,5,5,-1
20241003  23:56:00,5,5.05,5,5.05,-1
20241003  23:56:15,5.05,5.1,5.05,5.05,-1
20241003  23:56:30,5.05,5.05,5.05,5.05,-1
20241003  23:56:45,5.05,5.1,5.05,5.05,-1
20241003  23:57:00,5.05,5.05,5,5,-1
20241003  23:57:15,5,5,4.97,4.97,-1
20241003  23:57:30,4.97,5,4.97,5,-1
20241003  23:57:45,5,5.05,5,5.05,-1
20241003  23:58:00,5.05,5.05,5.02,5.05,-1
20241003  23:58:15,5.05,5.05,5.02,5.03,-1
20241003  23:58:30,5.03,5.03,5,5.03,-1
20241003  23:58:45,5.03,5.03,5,5,-1
20241003  23:59:00,5,5,4.95,4.95,-1
