Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2024-03-25,Z (Dec 2024),0.0000,17.4500,20.0000,0.0000,19.95,0,0,0,0
2024-03-26,Z (Dec 2024),19.2100,19.3000,19.2100,19.2100,19.275,-0.675,1,0,1
2024-03-27,Z (Dec 2024),19.1600,19.2300,19.1500,19.1700,19.15,-0.125,30,0,30
2024-03-28,Z (Dec 2024),19.2600,19.2600,18.9000,18.9200,19.00,-0.15,220,0,184
2024-04-01,Z (Dec 2024),19.1000,19.1000,18.9800,19.0200,19.025,0.025,59,0,251
2024-04-02,Z (Dec 2024),19.2000,19.4000,19.1500,19.2000,19.075,0.050,15,0,264
2024-04-03,Z (Dec 2024),19.2000,19.2000,19.0500,19.1000,19.05,-0.025,6,0,265
2024-04-04,Z (Dec 2024),19.0500,19.3100,19.0000,19.2500,19.175,0.125,64,0,302
2024-04-05,Z (Dec 2024),19.4300,19.4500,19.0200,19.1800,19.175,0.000,137,0,418
2024-04-08,Z (Dec 2024),19.2500,19.2500,18.9500,19.0300,19.00,-0.175,42,0,453
2024-04-09,Z (Dec 2024),19.1000,19.1000,19.0400,19.0700,19.00,0.00,14,0,463
2024-04-10,Z (Dec 2024),19.2000,19.3500,19.0500,19.2500,19.15,0.15,112,0,542
2024-04-11,Z (Dec 2024),19.3500,19.3500,18.9800,18.9900,19.00,-0.15,30,0,554
2024-04-12,Z (Dec 2024),19.3000,19.6000,19.2000,19.3700,19.25,0.25,97,0,623
2024-04-15,Z (Dec 2024),19.2000,19.5000,19.1500,19.4900,19.425,0.175,86,0,683
2024-04-16,Z (Dec 2024),19.0000,19.2000,18.9400,18.9700,18.975,-0.450,11,0,688
2024-04-17,Z (Dec 2024),18.9000,19.0500,18.6700,18.7600,18.825,-0.150,59,0,733
2024-04-18,Z (Dec 2024),18.9300,18.9700,18.7500,18.8600,18.80,-0.025,80,0,785
2024-04-19,Z (Dec 2024),19.0000,19.3500,18.5500,18.8500,18.90,0.10,61,0,816
2024-04-22,Z (Dec 2024),18.9000,18.9000,18.1500,18.3000,18.25,-0.65,93,0,830
2024-04-23,Z (Dec 2024),18.2000,18.2500,18.0200,18.1000,18.125,-0.125,89,0,892
2024-04-24,Z (Dec 2024),18.1500,18.2000,18.0500,18.2000,18.10,-0.025,153,0,963
2024-04-25,Z (Dec 2024),18.1500,18.3800,17.9500,17.9900,18.05,-0.05,346,0,1120
2024-04-26,Z (Dec 2024),17.9000,18.2000,17.8500,18.1500,18.20,0.15,167,0,1140
2024-04-29,Z (Dec 2024),18.1400,18.1500,17.8900,17.9400,17.925,-0.275,220,0,1217
2024-04-30,Z (Dec 2024),17.9000,18.0500,17.8500,18.0500,18.00,0.075,111,0,1269
2024-05-01,Z (Dec 2024),18.1200,18.2000,17.8500,18.1000,18.15,0.15,155,0,1342
2024-05-02,Z (Dec 2024),18.1100,18.1100,17.7500,17.8000,17.85,-0.30,87,0,1375
2024-05-03,Z (Dec 2024),17.7800,17.7800,17.5000,17.5000,17.575,-0.275,162,0,1421
2024-05-06,Z (Dec 2024),17.5500,17.5500,17.3500,17.4000,17.40,-0.175,93,0,1486
2024-05-07,Z (Dec 2024),17.4000,17.4500,17.3000,17.4000,17.40,0.00,133,0,1554
2024-05-08,Z (Dec 2024),17.4000,17.4000,17.3000,17.3500,17.375,-0.025,102,0,1591
2024-05-09,Z (Dec 2024),17.3500,17.3500,17.2500,17.3200,17.30,-0.075,251,0,1782
2024-05-10,Z (Dec 2024),17.3000,17.3700,17.2500,17.2500,17.30,0.00,263,0,1878
2024-05-13,Z (Dec 2024),17.3500,17.4500,17.2800,17.4000,17.375,0.075,817,0,2288
2024-05-14,Z (Dec 2024),17.3100,17.4000,17.1500,17.2100,17.15,-0.225,129,0,2315
2024-05-15,Z (Dec 2024),17.1400,17.1500,16.8500,16.8500,16.875,-0.275,241,0,2427
2024-05-16,Z (Dec 2024),16.9000,16.9000,16.8000,16.9000,16.90,0.025,93,0,2465
2024-05-17,Z (Dec 2024),17.0000,17.0000,16.7000,16.7500,16.75,-0.15,428,0,2716
2024-05-20,Z (Dec 2024),16.7000,16.8000,16.6000,16.7400,16.75,0.00,434,0,2968
2024-05-21,Z (Dec 2024),16.8000,16.8000,16.6900,16.7500,16.70,-0.05,592,0,3390
2024-05-22,Z (Dec 2024),16.8000,17.0000,16.7500,16.9000,16.937,0.237,1231,0,3716
2024-05-23,Z (Dec 2024),16.9000,17.1000,16.7500,17.0700,17.10,0.163,1262,0,4015
2024-05-24,Z (Dec 2024),17.1000,17.1300,16.8200,16.9500,16.9025,-0.1975,941,0,4231
2024-05-28,Z (Dec 2024),16.9500,17.1000,16.8000,17.0100,17.0162,0.1137,1352,0,4717
2024-05-29,Z (Dec 2024),17.0500,17.2700,17.0000,17.2700,17.1821,0.1659,995,0,5015
2024-05-30,Z (Dec 2024),17.2500,17.2600,16.9700,17.0500,17.0125,-0.1696,1126,0,5405
2024-05-31,Z (Dec 2024),17.1000,17.1500,16.8200,16.9000,16.9407,-0.0718,1735,0,5319
2024-06-03,Z (Dec 2024),16.9000,17.0200,16.7600,16.9000,16.95,0.0093,1188,0,5590
2024-06-04,Z (Dec 2024),16.8700,17.1300,16.8700,17.0200,17.05,0.10,1377,0,5981
2024-06-05,Z (Dec 2024),17.0000,17.1000,16.8500,17.0000,17.00,-0.05,1738,0,6803
2024-06-06,Z (Dec 2024),17.0400,17.2000,17.0000,17.1000,17.1228,0.1228,2170,0,7278
2024-06-07,Z (Dec 2024),17.1200,17.2400,16.9600,17.0200,17.10,-0.0228,1999,0,7499
2024-06-10,Z (Dec 2024),17.0500,17.2000,17.0000,17.0500,17.05,-0.05,936,0,7622
2024-06-11,Z (Dec 2024),17.0600,17.1800,17.0000,17.1000,17.05,0.00,1531,0,7982
2024-06-12,Z (Dec 2024),17.1500,17.1700,16.8500,17.1500,17.10,0.05,2544,0,8244
2024-06-13,Z (Dec 2024),17.1000,17.2500,16.9800,17.1000,17.15,0.05,1912,0,8543
2024-06-14,Z (Dec 2024),17.0700,17.4500,17.0500,17.4000,17.3599,0.2099,3697,0,8810
2024-06-17,Z (Dec 2024),17.3700,17.5000,17.2500,17.3000,17.30,-0.0599,3748,0,9874
2024-06-18,Z (Dec 2024),17.3000,17.4500,17.1700,17.4100,17.40,0.10,3426,0,10815
2024-06-20,Z (Dec 2024),17.4200,17.9000,17.2800,17.8700,17.8607,0.4607,6400,0,11960
2024-06-21,Z (Dec 2024),17.8700,18.0900,17.5000,17.5900,17.5886,-0.2721,6685,0,11629
2024-06-24,Z (Dec 2024),17.5500,17.6000,17.4000,17.4700,17.4619,-0.1267,5252,0,12391
2024-06-25,Z (Dec 2024),17.4700,17.5500,17.3000,17.4000,17.3008,-0.1611,2903,0,12346
2024-06-26,Z (Dec 2024),17.3600,17.4500,17.3000,17.3100,17.3925,0.0917,2994,0,12781
2024-06-27,Z (Dec 2024),17.3200,17.4000,17.1900,17.2200,17.2292,-0.1633,1968,0,12859
2024-06-28,Z (Dec 2024),17.2200,17.4000,17.1000,17.3500,17.3006,0.0714,7599,0,12586
2024-07-01,Z (Dec 2024),17.3700,17.3700,16.9000,16.9200,16.9225,-0.3781,2866,0,12866
2024-07-02,Z (Dec 2024),16.9200,17.1200,16.7500,16.8500,16.829,-0.0935,3158,0,13096
2024-07-03,Z (Dec 2024),16.8200,17.0500,16.8000,17.0500,17.00,0.171,1651,0,13408
2024-07-05,Z (Dec 2024),17.0000,17.0700,16.8000,17.0600,17.0444,0.0444,2918,0,13610
2024-07-08,Z (Dec 2024),17.0500,17.0700,16.8500,16.8700,16.95,-0.0944,3210,0,14261
2024-07-09,Z (Dec 2024),16.8700,16.9500,16.7000,16.9500,16.9009,-0.0491,4126,0,14736
2024-07-10,Z (Dec 2024),16.9000,16.9400,16.6000,16.7600,16.7214,-0.1795,5079,0,15772
2024-07-11,Z (Dec 2024),16.7500,17.0900,16.7000,17.0200,16.95,0.2286,5626,0,16139
2024-07-12,Z (Dec 2024),17.0000,17.0200,16.6700,16.7700,16.8319,-0.1181,6623,0,17419
2024-07-15,Z (Dec 2024),16.8000,17.1000,16.5700,16.9700,17.0575,0.2256,8210,0,17954
2024-07-16,Z (Dec 2024),16.9700,17.1000,16.9000,17.0600,17.0478,-0.0097,6143,0,19939
2024-07-17,Z (Dec 2024),17.0200,17.5300,16.9700,17.2800,17.2989,0.2511,8274,0,20172
2024-07-18,Z (Dec 2024),17.2500,17.6500,17.1000,17.4800,17.4487,0.1498,10368,0,21663
2024-07-19,Z (Dec 2024),17.4800,17.7700,17.3700,17.5700,17.5251,0.0764,9609,0,21302
2024-07-22,Z (Dec 2024),17.5800,17.8200,17.1500,17.2100,17.2003,-0.3248,7521,0,21823
2024-07-23,Z (Dec 2024),17.2000,17.3500,17.1000,17.2600,17.30,0.0997,5210,0,22410
2024-07-24,Z (Dec 2024),17.3000,18.0500,17.2600,17.8700,18.0204,0.7204,14627,0,22660
2024-07-25,Z (Dec 2024),17.9000,18.3000,17.6200,18.1600,18.1373,0.1169,11939,0,23205
2024-07-26,Z (Dec 2024),18.1000,18.1500,17.6000,17.6500,17.75,-0.3873,7282,0,23698
2024-07-29,Z (Dec 2024),17.6500,17.7600,17.3000,17.4000,17.394,-0.356,6576,0,24465
2024-07-30,Z (Dec 2024),17.4000,18.0800,17.3100,17.6700,17.60,0.206,6736,0,24825
2024-07-31,Z (Dec 2024),17.6700,17.6700,17.0000,17.3200,17.3994,-0.2006,6545,0,25405
2024-08-01,Z (Dec 2024),17.3000,18.3400,17.1500,18.1200,18.0438,0.6444,14313,0,27185
2024-08-02,Z (Dec 2024),18.1000,20.1500,18.0500,19.9300,19.6834,1.6396,28675,0,31940
2024-08-05,Z (Dec 2024),19.9500,26.5500,19.8500,22.6900,22.3161,2.6327,32205,0,32069
2024-08-06,Z (Dec 2024),22.6900,22.6900,19.9500,20.7200,21.0049,-1.3112,19887,0,30557
2024-08-07,Z (Dec 2024),20.3500,21.5700,19.3000,21.2400,20.8577,-0.1472,13348,0,31051
2024-08-08,Z (Dec 2024),21.2500,21.5000,19.6200,19.6400,19.8032,-1.0545,10759,0,30408
2024-08-09,Z (Dec 2024),19.5500,20.2000,18.5600,18.7500,18.6698,-1.1334,11565,0,31274
2024-08-12,Z (Dec 2024),18.7500,19.0000,17.9500,18.5600,18.554,-0.1158,11761,0,30738
2024-08-13,Z (Dec 2024),18.7000,18.8000,17.6000,17.6900,17.6858,-0.8682,9441,0,30423
2024-08-14,Z (Dec 2024),17.7000,17.7600,17.2300,17.2600,17.2556,-0.4302,6653,0,31043
2024-08-15,Z (Dec 2024),17.3000,17.4500,16.9000,17.1200,17.1743,-0.0813,12603,0,33407
2024-08-16,Z (Dec 2024),17.1600,17.3500,17.0200,17.3500,17.2885,0.1142,8631,0,34273
2024-08-19,Z (Dec 2024),17.3200,17.5000,17.0500,17.3000,17.3485,0.0600,7142,0,35603
2024-08-20,Z (Dec 2024),17.3000,17.7500,17.2400,17.7400,17.6921,0.3436,9825,0,36968
2024-08-21,Z (Dec 2024),17.8000,17.9700,17.5200,17.7000,17.70,0.0079,8744,0,35438
2024-08-22,Z (Dec 2024),17.7000,18.0200,17.5700,17.8800,17.95,0.25,9638,0,34570
