Option Price,Strike,Implied Vol,Type,Volume,Expiry,Value Date,Underlying Price
108,5950,14.33,call,853,21-03-2025,10-01-2025,5861.5
132.75,5925,14.31,call,518,21-03-2025,10-01-2025,5861.5
134,5900,14.827,call,421,21-03-2025,10-01-2025,5861.5
142.5,5885,15.081,call,295,21-03-2025,10-01-2025,5861.5
146.25,5880,15.018,call,181,21-03-2025,10-01-2025,5861.5
147,5875,15.216,call,575,21-03-2025,10-01-2025,5861.5
155.5,5865,15.252,call,184,21-03-2025,10-01-2025,5861.5
103.5,5700,17.275,put,2557,21-03-2025,10-01-2025,5861.5
110.5,5725,17.054,put,607,21-03-2025,10-01-2025,5861.5
116.5,5750,16.718,put,884,21-03-2025,10-01-2025,5861.5
110.5,5775,16.202,put,364,21-03-2025,10-01-2025,5861.5
133.25,5800,15.955,put,1718,21-03-2025,10-01-2025,5861.5
152,5850,15.512,put,1396,21-03-2025,10-01-2025,5861.5
