,date,open,high,low,close,volume
0,20241004  23:30:00,1.79,1.79,1.75,1.78,-1
0,20241004  23:30:10,1.78,1.79,1.77,1.78,-1
0,20241004  23:30:20,1.78,1.81,1.76,1.8,-1
0,20241004  23:30:30,1.8,1.8,1.77,1.79,-1
0,20241004  23:30:40,1.79,1.79,1.77,1.78,-1
0,20241004  23:30:50,1.78,1.78,1.77,1.78,-1
0,20241004  23:31:00,1.78,1.78,1.77,1.78,-1
0,20241004  23:31:10,1.78,1.8,1.78,1.8,-1
0,20241004  23:31:20,1.8,1.81,1.78,1.81,-1
0,20241004  23:31:30,1.81,1.82,1.78,1.81,-1
0,20241004  23:31:40,1.81,1.81,1.8,1.81,-1
0,20241004  23:31:50,1.81,1.81,1.81,1.81,-1
0,20241004  23:32:00,1.81,1.82,1.81,1.82,-1
0,20241004  23:32:10,1.82,1.82,1.8,1.81,-1
0,20241004  23:32:20,1.81,1.82,1.81,1.82,-1
0,20241004  23:32:30,1.82,1.82,1.81,1.82,-1
0,20241004  23:32:40,1.82,1.82,1.79,1.81,-1
0,20241004  23:32:50,1.81,1.82,1.81,1.82,-1
0,20241004  23:33:00,1.82,1.82,1.82,1.82,-1
0,20241004  23:33:10,1.82,1.83,1.82,1.83,-1
0,20241004  23:33:20,1.83,1.83,1.78,1.8,-1
0,20241004  23:33:30,1.8,1.81,1.78,1.81,-1
0,20241004  23:33:40,1.81,1.81,1.78,1.8,-1
0,20241004  23:33:50,1.8,1.81,1.78,1.8,-1
0,20241004  23:34:00,1.8,1.8,1.79,1.8,-1
0,20241004  23:34:10,1.8,1.8,1.76,1.79,-1
0,20241004  23:34:20,1.79,1.79,1.77,1.79,-1
0,20241004  23:34:30,1.79,1.79,1.76,1.76,-1
0,20241004  23:34:40,1.76,1.76,1.75,1.75,-1
0,20241004  23:34:50,1.75,1.75,1.75,1.75,-1
0,20241004  23:35:00,1.75,1.75,1.74,1.74,-1
0,20241004  23:35:10,1.74,1.74,1.74,1.74,-1
0,20241004  23:35:20,1.74,1.74,1.74,1.74,-1
0,20241004  23:35:30,1.74,1.74,1.74,1.74,-1
0,20241004  23:35:40,1.74,1.74,1.7,1.7,-1
0,20241004  23:35:50,1.7,1.7,1.68,1.68,-1
0,20241004  23:36:00,1.68,1.68,1.66,1.67,-1
0,20241004  23:36:10,1.67,1.67,1.66,1.67,-1
0,20241004  23:36:20,1.67,1.7,1.67,1.7,-1
0,20241004  23:36:30,1.7,1.73,1.69,1.73,-1
0,20241004  23:36:40,1.73,1.73,1.72,1.73,-1
0,20241004  23:36:50,1.73,1.73,1.72,1.73,-1
0,20241004  23:37:00,1.73,1.75,1.72,1.75,-1
0,20241004  23:37:10,1.75,1.75,1.74,1.75,-1
0,20241004  23:37:20,1.75,1.79,1.75,1.77,-1
0,20241004  23:37:30,1.77,1.77,1.7,1.74,-1
0,20241004  23:37:40,1.74,1.76,1.73,1.76,-1
